                           count          mean            std          min         25%          50%           75%          max
Direction                   60.0           0.7       0.720169         -1.0         1.0          1.0           1.0          1.0
NumberOfEquations           60.0    692.633333    1629.794434          2.0       32.25        123.0         447.5       8444.0
NumberOfVariables           60.0    908.083333    1940.993318          3.0        42.5        238.5         623.0      10801.0
NumberOfDiscreteVariables   60.0    419.216667     766.821861          2.0        20.0        110.0         406.5       3752.0
NumberOfNonZeros            60.0   2829.566667    5702.820834          7.0       176.0        782.5       2187.25      28804.0
NumberOfNonlinearNonZeros   60.0    649.633333    1226.202972          3.0        46.0        200.0        607.75       7200.0
KnownPrimalBound            59.0           inf            NaN    -25766.82   -0.102257     0.000394      2.020727          inf
KnownDualBound              59.0           inf            NaN    -25766.82   -0.116685     0.000256      1.058106          inf
JulianDate                 539.0  46103.887123       4.743485    46096.282  46096.8235  46106.24856  46106.899975  46110.69236
TerminationStatus          539.0      0.467532        0.93485          0.0         0.0          0.0           1.0          8.0
PrimalBound                539.0           inf            NaN    -25766.82   -0.094977     0.000515      3.948552          inf
DualBound                  539.0           inf            NaN -66108.33897   -1.993264     0.000067      1.116277          inf
SolverTime                 539.0    389.740676     425.179932        0.018        2.43       76.627    900.299558   997.857618
NumberOfIterations         534.0  127076.61236  810022.557656          0.0        20.0         46.5        327.25   13134109.0
NumberOfDomainViolations   503.0           0.0            0.0          0.0         0.0          0.0           0.0          0.0
NumberOfNodes              539.0  88217.504638  798249.421525       -176.0         1.0        723.0       15733.0   16550615.0
Fail                         540           NaN            NaN          NaN         NaN          NaN           NaN          NaN
FailReason                   NaN           NaN            NaN          NaN         NaN          NaN           NaN          NaN
Gap                        539.0           inf            NaN         -0.0         0.0     0.000394      0.228121          inf
PrimalGap                  162.0           inf            NaN    -0.000027         0.0          0.0           0.0          inf
DualGap                    162.0           inf            NaN    -0.889026         0.0          0.0      0.000931          inf
