Absolute performance profile for SolverTime
Filter: no fail
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
0.019000          0        0        0        0        0        0      0     1           1            0
0.650224          7        8        9       12        8        8      9    10          15            6
1.281449          9       10       11       12        9        9     14    11          19            8
1.912673         10       11       11       13       12        9     14    12          20            8
2.543898         10       11       13       14       12       11     17    12          22            9
3.175122         10       11       14       15       12       11     17    12          22            9
3.806347         11       12       16       15       12       11     17    12          23            9
4.437571         12       12       17       15       12       11     18    13          24            9
5.068796         12       12       17       15       13       12     18    13          24            9
5.700020         12       13       17       15       13       13     18    13          24            9
6.331244         12       13       18       17       13       14     18    13          25            9
6.962469         12       13       18       17       14       14     18    13          25            9
7.593693         12       13       18       17       15       14     19    13          26            9
8.224918         12       13       18       18       15       14     19    14          26            9
8.856142         12       13       19       18       15       14     19    14          26            9
9.487367         12       13       19       18       15       15     19    14          26            9
10.118591        12       13       21       18       15       15     19    14          26            9
10.749816        13       13       21       18       16       17     21    15          27            9
11.381040        13       13       21       18       17       18     21    15          27            9
12.012265        13       13       22       19       17       18     21    15          27            9
12.643489        13       13       22       19       17       18     21    15          27            9
13.274713        13       13       22       19       17       18     22    15          27            9
13.905938        13       14       22       19       17       18     22    15          27            9
14.537162        13       14       22       20       17       18     22    15          27            9
15.168387        13       14       22       20       17       18     22    15          27            9
15.799611        13       14       22       20       18       19     22    15          27            9
16.430836        13       15       22       20       18       19     22    15          27            9
17.062060        13       15       22       20       18       19     22    15          27            9
17.693285        13       15       22       20       18       20     22    15          27            9
18.324509        13       15       22       20       19       20     22    15          27            9
18.955733        13       16       22       20       19       20     22    15          27            9
19.586958        13       17       22       20       19       20     22    15          27            9
20.218182        13       17       22       20       19       20     22    15          27            9
20.849407        13       17       22       20       19       20     22    15          27            9
21.480631        13       17       22       20       19       20     22    15          27            9
22.111856        13       17       22       20       19       20     22    15          27            9
22.743080        13       17       22       20       19       20     22    15          27            9
23.374305        13       17       23       20       19       20     22    15          27            9
24.005529        13       18       23       20       19       20     22    15          27            9
24.636754        13       18       23       20       19       20     22    15          27            9
25.267978        13       18       23       20       20       21     22    15          27            9
25.899202        13       18       23       20       20       21     22    15          27            9
26.530427        13       18       23       20       20       21     22    15          27            9
27.161651        13       18       23       20       20       21     22    15          27            9
27.792876        13       18       23       20       20       21     22    15          27            9
28.424100        13       18       23       20       20       21     23    15          28            9
29.055325        13       18       23       20       20       21     23    15          28            9
29.686549        13       18       23       20       20       21     23    15          28            9
30.317774        13       18       23       20       20       21     23    17          29            9
30.948998        13       18       23       20       20       21     24    17          30            9
31.580222        14       18       23       20       20       21     24    17          30            9
32.211447        14       18       23       20       20       21     24    17          30            9
32.842671        14       18       23       20       20       22     24    17          31            9
33.473896        14       18       23       20       20       22     24    17          31            9
34.105120        14       18       23       20       20       22     24    17          31            9
34.736345        14       18       23       20       20       22     24    17          31            9
35.367569        14       18       23       20       20       22     24    17          31            9
35.998794        14       18       23       20       20       22     24    17          31            9
36.630018        14       18       23       20       20       22     24    17          31            9
37.261242        14       18       23       20       20       22     25    17          31            9
37.892467        14       18       23       20       20       22     25    18          31            9
38.523691        14       18       23       20       21       22     25    18          31           10
39.154916        14       18       23       20       22       22     26    18          31           11
39.786140        14       18       23       20       22       22     26    18          31           11
40.417365        14       18       23       20       22       22     26    18          31           11
41.048589        14       18       23       20       22       22     26    18          31           11
41.679814        14       18       23       20       22       22     26    18          31           11
42.311038        14       18       23       20       22       22     26    18          31           11
42.942263        14       18       23       20       22       22     26    18          31           11
43.573487        14       18       23       20       22       22     26    18          31           11
44.204711        14       18       23       20       22       22     26    18          31           11
44.835936        14       18       23       20       22       22     26    19          31           11
45.467160        14       18       23       20       22       23     26    19          31           11
46.098385        14       18       23       20       22       23     26    19          31           11
46.729609        14       18       23       20       22       23     26    19          31           11
47.360834        14       18       23       20       22       23     26    19          31           11
47.992058        14       18       23       20       22       23     26    19          31           11
48.623283        14       18       23       20       22       23     26    19          31           11
49.254507        14       18       23       20       22       23     26    19          31           11
49.885731        14       18       24       20       22       24     26    19          32           11
50.516956        14       18       24       20       22       24     26    19          32           11
51.148180        14       18       24       20       22       24     26    19          32           11
51.779405        14       18       24       20       22       24     26    19          32           11
52.410629        14       19       24       20       22       25     26    19          33           11
53.041854        14       19       24       20       22       25     26    19          33           11
53.673078        14       19       24       20       22       25     26    19          33           11
54.304303        14       19       24       20       22       25     26    19          33           11
54.935527        14       19       24       20       22       26     26    19          33           11
55.566752        14       19       24       20       22       26     26    19          33           11
56.197976        14       19       24       20       22       26     26    19          33           11
56.829200        14       19       24       20       22       26     26    19          33           11
57.460425        14       19       24       20       22       26     26    19          33           11
58.091649        14       19       24       20       22       26     26    19          33           11
58.722874        14       19       24       20       22       26     26    19          33           11
59.354098        14       19       24       20       22       26     26    19          33           11
59.985323        14       19       24       20       22       26     26    19          33           11
60.616547        14       19       24       20       22       26     27    19          33           11
61.247772        14       19       24       20       22       26     27    19          33           11
61.878996        14       19       24       20       22       26     27    19          33           11
62.510220        14       19       24       20       22       26     27    19          33           11
63.141445        14       19       24       20       22       26     27    19          33           11
63.772669        15       19       24       20       22       27     27    19          33           11
64.403894        15       19       25       20       22       27     27    19          33           11
65.035118        15       19       25       20       22       27     27    19          33           11
65.666343        15       19       25       20       22       27     27    19          33           11
66.297567        15       19       25       20       22       27     27    19          33           11
66.928792        15       19       25       20       22       27     27    19          33           11
67.560016        15       19       25       20       22       27     27    19          33           11
68.191240        15       19       25       20       22       27     27    19          33           11
68.822465        15       19       25       20       22       27     27    19          33           11
69.453689        15       19       25       20       22       27     27    19          33           11
70.084914        15       19       25       20       22       27     27    19          33           11
70.716138        15       19       25       20       22       27     27    19          33           11
71.347363        15       19       25       20       22       27     27    19          33           11
71.978587        15       19       25       20       22       27     27    19          33           11
72.609812        15       19       25       20       22       27     27    19          33           11
73.241036        15       19       25       20       22       27     27    19          33           11
73.872261        15       19       25       20       22       27     27    19          33           11
74.503485        15       20       25       20       22       27     27    19          33           11
