Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
0.082000          0        0        0        0        0        0      0     1           1            0
0.713098          0        0        0        4        0        0      1     2           6            0
1.344196          0        1        2        4        1        1      3     3           8            0
1.975295          1        2        2        5        3        1      3     3           9            0
2.606393          1        2        4        5        3        2      6     3          11            0
3.237491          1        2        5        6        3        2      6     3          11            0
3.868589          3        3        7        6        3        2      6     3          13            0
4.499687          3        3        7        6        3        3      7     4          13            0
5.130786          3        3        7        6        4        3      7     4          13            0
5.761884          3        4        7        6        4        4      7     4          13            0
6.392982          3        4        8        8        4        5      7     4          14            0
7.024080          3        4        8        8        5        5      7     4          14            0
7.655178          3        4        8        8        6        5      8     4          15            0
8.286277          3        4        8        9        6        5      8     5          15            0
8.917375          3        4        9        9        6        5      8     5          15            0
9.548473          3        4        9        9        6        6      8     5          15            0
10.179571         4        4       11        9        7        6      8     5          15            0
10.810669         4        4       11        9        7        8     10     6          16            0
11.441768         4        4       11        9        8        9     10     6          16            0
12.072866         4        4       12       10        8        9     10     6          16            0
12.703964         4        4       12       10        8        9     10     6          16            0
13.335062         4        4       12       10        8        9     11     6          16            0
13.966160         4        5       12       10        8        9     11     6          16            0
14.597259         4        5       12       11        8        9     11     6          16            0
15.228357         4        5       12       11        8        9     11     6          16            0
15.859455         4        5       12       11        9       10     11     6          16            0
16.490553         4        6       12       11        9       10     11     6          16            0
17.121651         4        6       12       11        9       10     11     6          16            0
17.752749         4        6       12       11        9       11     11     6          16            0
18.383848         4        6       12       11        9       11     11     6          16            0
19.014946         4        8       12       11        9       11     11     6          16            0
19.646044         4        8       12       11        9       11     11     6          16            0
20.277142         4        8       12       11        9       11     11     6          16            0
20.908240         4        8       12       11        9       11     11     6          16            0
21.539339         4        8       12       11        9       11     11     6          16            0
22.170437         4        8       12       11        9       11     11     6          16            0
22.801535         4        8       13       11        9       11     11     6          16            0
23.432633         4        8       13       11        9       11     11     6          16            0
24.063731         4        9       13       11        9       11     11     6          16            0
24.694830         4        9       13       11        9       11     11     6          16            0
25.325928         4        9       13       11       10       12     11     6          16            0
25.957026         4        9       13       11       10       12     11     6          16            0
26.588124         4        9       13       11       10       12     11     6          16            0
27.219222         4        9       13       11       10       12     11     6          16            0
27.850321         4        9       13       11       10       12     11     6          16            0
28.481419         4        9       13       11       10       12     11     6          16            0
29.112517         4        9       13       11       10       12     11     6          16            0
29.743615         4        9       13       11       10       12     11     6          16            0
30.374713         4        9       13       11       10       12     11     8          17            0
31.005812         4        9       13       11       10       12     12     8          18            0
31.636910         5        9       13       11       10       12     12     8          18            0
32.268008         5        9       13       11       10       12     12     8          18            0
32.899106         5        9       13       11       10       13     12     8          19            0
33.530204         5        9       13       11       10       13     12     8          19            0
34.161303         5        9       13       11       10       13     12     8          19            0
34.792401         5        9       13       11       10       13     12     8          19            0
35.423499         5        9       13       11       10       13     12     8          19            0
36.054597         5        9       13       11       10       13     12     8          19            0
36.685695         5        9       13       11       10       13     12     8          19            0
37.316794         5        9       13       11       10       13     13     9          19            0
37.947892         5        9       13       11       10       13     13     9          19            0
38.578990         5        9       13       11       11       13     13     9          19            1
39.210088         5        9       13       11       12       13     14     9          19            2
39.841186         5        9       13       11       12       13     14     9          19            2
40.472285         5        9       13       11       12       13     14     9          19            2
41.103383         5        9       13       11       12       13     14     9          19            2
41.734481         5        9       13       11       12       13     14     9          19            2
42.365579         5        9       13       11       12       13     14     9          19            2
42.996677         5        9       13       11       12       13     14     9          19            2
43.627776         5        9       13       11       12       13     14     9          19            2
44.258874         5        9       13       11       12       13     14     9          19            2
44.889972         5        9       13       11       12       13     14    10          19            2
45.521070         5        9       13       11       12       14     14    10          19            2
46.152168         5        9       13       11       12       14     14    10          19            2
46.783267         5        9       13       11       12       14     14    10          19            2
47.414365         5        9       13       11       12       14     14    10          19            2
48.045463         5        9       13       11       12       14     14    10          19            2
48.676561         5        9       13       11       12       14     14    10          19            2
49.307659         5        9       13       11       12       14     14    10          19            2
49.938758         5        9       14       11       12       15     14    10          20            2
50.569856         5        9       14       11       12       15     14    10          20            2
51.200954         5        9       14       11       12       15     14    10          20            2
51.832052         5        9       14       11       12       15     14    10          20            2
