Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
0.019000          0        0        0        0        0        0      0     1           1            0
0.622492          7        5        6       12        8        8      9    10          15            2
1.225984          9        7        8       12        9        9     13    11          19            4
1.829476         10        8        8       13       12        9     14    12          20            4
2.432968         10        8       10       14       12       11     16    12          21            5
3.036459         10        8       10       15       12       11     17    12          22            5
3.639951         11        9       13       15       12       11     17    12          23            5
4.243443         12        9       14       15       12       11     17    12          24            5
4.846935         12        9       14       15       12       12     18    13          24            5
5.450427         12       10       14       15       13       13     18    13          24            5
6.053919         12       10       14       16       13       13     18    13          24            5
6.657411         12       10       15       17       14       14     18    13          25            5
7.260903         12       10       15       17       14       14     18    13          25            5
7.864394         12       10       15       17       15       14     19    14          26            5
8.467886         12       10       15       18       15       14     19    14          26            5
9.071378         12       10       16       18       15       14     19    14          26            5
9.674870         12       10       16       18       15       15     19    14          26            5
10.278362        13       10       18       18       16       15     19    14          26            5
10.881854        13       10       18       18       16       17     21    15          27            5
11.485346        13       10       18       18       17       18     21    15          27            5
12.088838        13       10       19       19       17       18     21    15          27            5
12.692329        13       10       19       19       17       18     21    15          27            5
13.295821        13       10       19       19       17       18     22    15          27            5
13.899313        13       11       19       19       17       18     22    15          27            5
14.502805        13       11       19       19       17       18     22    15          27            5
15.106297        13       11       19       20       17       18     22    15          27            5
15.709789        13       11       19       20       18       19     22    15          27            5
16.313281        13       12       19       20       18       19     22    15          27            5
16.916773        13       12       19       20       18       19     22    15          27            5
17.520265        13       12       19       20       18       20     22    15          27            5
18.123756        13       12       19       20       19       20     22    15          27            5
18.727248        13       13       19       20       19       20     22    15          27            5
19.330740        13       14       19       20       19       20     22    15          27            5
19.934232        13       14       19       20       19       20     22    15          27            5
20.537724        13       14       19       20       19       20     22    15          27            5
21.141216        13       14       19       20       19       20     22    15          27            5
21.744708        13       14       19       20       19       20     22    15          27            5
22.348200        13       14       19       20       19       20     22    15          27            5
22.951691        13       14       20       20       19       20     22    15          27            5
23.555183        13       14       20       20       19       20     22    15          27            5
24.158675        13       15       20       20       19       20     22    15          27            5
24.762167        13       15       20       20       20       20     22    15          27            5
25.365659        13       15       20       20       20       21     22    15          27            5
25.969151        13       15       20       20       20       21     22    15          27            5
26.572643        13       15       20       20       20       21     22    15          27            5
27.176135        13       15       20       20       20       21     22    15          27            5
27.779626        13       15       20       20       20       21     22    15          27            5
28.383118        13       15       20       20       20       21     23    15          28            5
28.986610        13       15       20       20       20       21     23    15          28            5
