Absolute performance profile for SolverTime
Filter: no fail
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.018000          0        0        0        0        0        0      0       1     0           1            0
0.948913          9       12       12        9        9       11     15      20    12          25            5
1.879826         11       13       12       10       12       12     18      24    14          29            7
2.810739         11       13       14       13       12       13     21      24    14          31            7
3.741652         13       14       16       13       12       13     22      26    14          35            7
4.672565         13       14       17       13       12       14     23      28    15          36            7
5.603477         13       15       18       15       13       15     23      29    15          37            7
6.534390         13       15       18       16       13       15     23      29    15          37            7
7.465303         13       15       18       16       16       15     23      29    15          38            7
8.396216         15       15       19       16       16       15     24      31    16          40            7
9.327129         16       15       19       16       16       16     24      32    16          41            7
10.258042        17       15       22       16       17       16     24      32    16          41            7
11.188955        17       15       23       16       17       17     26      33    17          41            7
12.119868        17       15       23       16       19       20     26      34    17          42            7
13.050781        17       17       24       16       20       20     26      35    17          44            7
13.981694        17       17       25       16       20       21     26      36    18          44            7
14.912607        17       18       25       17       20       21     28      36    18          44            7
15.843520        17       19       26       17       20       21     29      37    18          44            7
16.774432        17       20       26       19       20       22     29      37    19          44            7
17.705345        17       20       26       19       21       23     29      37    19          44            7
18.636258        17       21       26       19       21       23     30      38    19          45            7
19.567171        17       22       26       19       22       23     30      38    19          45            7
20.498084        17       22       26       19       22       23     30      38    19          45            7
21.428997        17       22       26       19       22       23     30      38    19          45            7
22.359910        17       22       26       19       22       23     30      38    19          45            7
23.290823        17       22       26       19       22       23     30      38    19          45            7
24.221736        17       22       26       19       22       23     30      38    19          45            7
25.152649        17       23       26       19       22       24     30      38    19          45            7
26.083562        17       23       26       20       22       25     30      38    19          46            7
27.014474        17       23       26       20       22       26     30      38    19          46            7
27.945387        17       23       26       20       22       26     30      38    19          46            7
28.876300        17       23       26       20       22       27     31      38    19          46            7
29.807213        17       23       26       20       23       28     31      38    19          46            7
30.738126        17       23       26       20       23       28     32      38    21          46            7
31.669039        17       23       26       20       23       28     32      38    21          46            7
32.599952        17       23       26       20       23       28     32      38    21          46            7
33.530865        17       23       26       20       23       28     32      38    21          46            7
34.461778        17       24       26       20       24       28     33      39    22          46            8
35.392691        17       24       27       20       24       28     33      39    22          46            8
36.323604        17       24       28       20       24       30     33      39    22          46            8
37.254517        17       24       28       20       24       31     33      39    22          46            8
38.185429        17       24       28       20       24       31     33      40    23          46            8
39.116342        17       24       28       20       25       31     34      40    23          46            8
40.047255        17       24       28       20       25       33     35      40    23          46            9
40.978168        17       24       29       20       25       33     35      40    23          46            9
41.909081        17       24       30       20       25       33     35      40    23          46            9
42.839994        17       24       30       20       25       33     35      40    23          46            9
43.770907        17       24       30       20       25       33     35      40    23          46            9
44.701820        17       24       31       20       25       33     35      40    24          47            9
45.632733        18       24       31       20       25       33     35      40    24          47            9
46.563646        18       24       31       20       25       33     35      40    24          47            9
47.494559        18       24       31       20       25       33     35      40    24          47            9
48.425471        18       24       31       20       26       33     35      40    24          47            9
49.356384        18       24       31       20       26       33     35      40    24          47            9
50.287297        18       24       32       20       27       33     35      40    24          47            9
51.218210        18       24       32       20       27       33     35      40    24          47            9
52.149123        18       25       32       20       27       34     35      40    24          47            9
53.080036        18       26       33       20       27       34     35      40    24          48            9
54.010949        18       26       33       20       27       34     35      40    24          48            9
54.941862        18       26       33       20       27       34     35      40    24          48            9
55.872775        18       27       33       20       27       34     35      40    24          48            9
56.803688        18       27       33       20       27       34     35      40    24          48            9
57.734601        18       27       33       20       27       34     35      40    24          48            9
58.665514        18       27       33       20       27       34     35      40    24          48            9
59.596426        18       27       33       20       27       34     35      40    24          48            9
60.527339        18       27       33       20       27       34     36      40    24          48            9
61.458252        18       27       34       20       27       34     36      40    24          48            9
62.389165        18       27       34       20       27       34     36      40    24          48            9
63.320078        18       27       34       20       27       34     36      40    24          48            9
64.250991        18       27       34       20       27       35     36      40    24          48            9
65.181904        18       27       34       20       27       35     36      40    24          48            9
66.112817        18       27       34       20       27       35     36      40    24          48            9
67.043730        18       27       34       20       27       35     36      40    24          48            9
67.974643        18       27       34       20       27       35     36      40    24          48            9
68.905556        18       27       34       20       27       35     36      40    24          48            9
69.836468        19       27       34       20       27       35     36      40    24          48            9
