Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.018000          0        0        0        0        0        0      0       1     0           1            0
0.948913          2        3        3        2        2        4      6       9     4          11            0
1.879826          3        4        3        2        4        4      6      12     4          15            0
2.810739          3        4        5        4        4        4      9      12     4          16            0
3.741652          5        5        7        4        4        4     10      14     4          20            0
4.672565          5        5        7        4        4        5     11      16     5          21            0
5.603477          5        6        8        6        5        6     11      17     5          22            0
6.534390          5        6        8        6        5        6     11      17     5          22            0
7.465303          5        6        8        6        7        6     11      17     5          23            0
8.396216          6        6        8        6        7        6     12      19     6          25            0
9.327129          6        6        8        6        7        7     12      19     6          25            0
10.258042         7        6       11        6        8        7     12      19     6          25            0
11.188955         7        6       12        6        8        8     14      20     7          25            0
12.119868         7        6       12        6       10       10     14      21     7          26            0
13.050781         7        7       13        6       11       10     14      22     7          28            0
13.981694         7        7       14        6       11       11     14      22     7          28            0
14.912607         7        8       14        7       11       11     15      22     7          28            0
15.843520         7        8       14        7       11       11     15      22     7          28            0
16.774432         7        9       14        8       11       12     15      22     7          28            0
17.705345         7        9       14        8       11       12     15      22     7          28            0
18.636258         7       10       14        8       11       12     16      23     7          29            0
19.567171         7       11       14        8       11       12     16      23     7          29            0
20.498084         7       11       14        8       11       12     16      23     7          29            0
21.428997         7       11       14        8       11       12     16      23     7          29            0
22.359910         7       11       14        8       11       12     16      23     7          29            0
23.290823         7       11       14        8       11       12     16      23     7          29            0
24.221736         7       11       14        8       11       12     16      23     7          29            0
25.152649         7       12       14        8       11       12     16      23     7          29            0
26.083562         7       12       14        8       11       13     16      23     7          29            0
27.014474         7       12       14        8       11       14     16      23     7          29            0
27.945387         7       12       14        8       11       14     16      23     7          29            0
28.876300         7       12       14        8       11       14     17      23     7          29            0
29.807213         7       12       14        8       11       14     17      23     7          29            0
30.738126         7       12       14        8       11       14     18      23     9          29            0
31.669039         7       12       14        8       11       14     18      23     9          29            0
32.599952         7       12       14        8       11       14     18      23     9          29            0
33.530865         7       12       14        8       11       14     18      23     9          29            0
34.461778         7       13       14        8       12       14     19      24    10          29            1
35.392691         7       13       14        8       12       14     19      24    10          29            1
36.323604         7       13       15        8       12       16     19      24    10          29            1
37.254517         7       13       15        8       12       17     19      24    10          29            1
38.185429         7       13       15        8       12       17     19      25    11          29            1
39.116342         7       13       15        8       13       17     20      25    11          29            1
40.047255         7       13       15        8       13       19     21      25    11          29            2
40.978168         7       13       16        8       13       19     21      25    11          29            2
41.909081         7       13       17        8       13       19     21      25    11          29            2
42.839994         7       13       17        8       13       19     21      25    11          29            2
43.770907         7       13       17        8       13       19     21      25    11          29            2
44.701820         7       13       18        8       13       19     21      25    12          30            2
45.632733         8       13       18        8       13       19     21      25    12          30            2
46.563646         8       13       18        8       13       19     21      25    12          30            2
47.494559         8       13       18        8       13       19     21      25    12          30            2
48.425471         8       13       18        8       13       19     21      25    12          30            2
49.356384         8       13       18        8       13       19     21      25    12          30            2
50.287297         8       13       19        8       14       19     21      25    12          30            2
51.218210         8       13       19        8       14       19     21      25    12          30            2
52.149123         8       13       19        8       14       20     21      25    12          30            2
53.080036         8       14       20        8       14       20     21      25    12          31            2
54.010949         8       14       20        8       14       20     21      25    12          31            2
54.941862         8       14       20        8       14       20     21      25    12          31            2
55.872775         8       14       20        8       14       20     21      25    12          31            2
56.803688         8       14       20        8       14       20     21      25    12          31            2
57.734601         8       14       20        8       14       20     21      25    12          31            2
58.665514         8       14       20        8       14       20     21      25    12          31            2
59.596426         8       14       20        8       14       20     21      25    12          31            2
60.527339         8       14       20        8       14       20     22      25    12          31            2
61.458252         8       14       21        8       14       20     22      25    12          31            2
62.389165         8       14       21        8       14       20     22      25    12          31            2
63.320078         8       14       21        8       14       20     22      25    12          31            2
64.250991         8       14       21        8       14       21     22      25    12          31            2
65.181904         8       14       21        8       14       21     22      25    12          31            2
66.112817         8       14       21        8       14       21     22      25    12          31            2
67.043730         8       14       21        8       14       21     22      25    12          31            2
67.974643         8       14       21        8       14       21     22      25    12          31            2
