Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.018000          0        0        0        0        0        0      0       1     0           1            0
0.921661          9        9        9        8        9       10     15      20    11          25            2
1.825321         11       10        9        9       12       11     18      23    14          28            4
2.728982         11       10       10       11       12       12     21      24    14          29            4
3.632643         13       11       13       11       12       12     22      26    14          34            4
4.536303         13       11       14       11       12       13     23      28    15          35            4
5.439964         13       12       15       12       13       14     23      29    15          36            4
6.343625         13       12       15       14       13       14     23      29    15          36            4
7.247285         13       12       15       14       15       14     23      29    15          37            4
8.150946         15       12       15       14       16       14     24      30    16          39            4
9.054607         15       12       16       14       16       15     24      32    16          41            4
9.958267         16       12       19       14       16       15     24      32    16          41            4
10.861928        17       12       20       14       17       15     26      33    17          41            4
11.765589        17       12       20       14       18       17     26      33    17          41            4
12.669249        17       13       21       14       19       19     26      35    17          44            4
13.572910        17       14       22       14       20       20     26      35    17          44            4
14.476571        17       14       22       14       20       20     27      36    18          44            4
15.380231        17       16       23       15       20       20     28      36    18          44            4
16.283892        17       16       23       15       20       21     29      37    19          44            4
17.187553        17       17       23       17       20       21     29      37    19          44            4
18.091213        17       18       23       17       21       22     29      38    19          45            4
18.994874        17       18       23       17       21       22     30      38    19          45            4
19.898535        17       19       23       17       22       22     30      38    19          45            4
20.802195        17       19       23       17       22       22     30      38    19          45            4
21.705856        17       19       23       17       22       22     30      38    19          45            4
22.609517        17       19       23       17       22       22     30      38    19          45            4
23.513177        17       19       23       17       22       22     30      38    19          45            4
24.416838        17       19       23       17       22       23     30      38    19          45            4
25.320498        17       20       23       17       22       23     30      38    19          45            4
26.224159        17       20       23       17       22       24     30      38    19          45            4
27.127820        17       20       23       17       22       25     30      38    19          45            4
28.031480        17       20       23       17       22       26     30      38    19          46            4
28.935141        17       20       23       17       22       26     31      38    19          46            4
29.838802        17       20       23       17       23       27     31      38    19          46            4
30.742462        17       20       23       17       23       27     32      38    21          46            4
31.646123        17       20       23       17       23       27     32      38    21          46            4
32.549784        17       20       23       17       23       27     32      38    21          46            4
33.453444        17       20       23       17       23       27     32      38    21          46            4
34.357105        17       21       23       17       24       27     33      39    22          46            5
35.260766        17       21       24       17       24       27     33      39    22          46            5
36.164426        17       21       24       17       24       29     33      39    22          46            5
37.068087        17       21       25       17       24       30     33      39    22          46            5
37.971748        17       21       25       17       24       30     33      39    23          46            5
38.875408        17       21       25       17       25       30     34      40    23          46            5
39.779069        17       21       25       17       25       32     35      40    23          46            6
40.682730        17       21       25       17       25       32     35      40    23          46            6
41.586390        17       21       27       17       25       32     35      40    23          46            6
42.490051        17       21       27       17       25       32     35      40    23          46            6
43.393712        17       21       27       17       25       32     35      40    23          46            6
44.297372        17       21       28       17       25       32     35      40    24          47            6
45.201033        17       21       28       17       25       32     35      40    24          47            6
46.104694        18       21       28       17       25       32     35      40    24          47            6
47.008354        18       21       28       17       25       32     35      40    24          47            6
47.912015        18       21       28       17       25       32     35      40    24          47            6
48.815676        18       21       28       17       26       32     35      40    24          47            6
49.719336        18       21       28       17       26       32     35      40    24          47            6
50.622997        18       21       29       17       27       32     35      40    24          47            6
51.526658        18       21       29       17       27       32     35      40    24          47            6
52.430318        18       22       30       17       27       33     35      40    24          48            6
53.333979        18       23       30       17       27       33     35      40    24          48            6
54.237640        18       23       30       17       27       33     35      40    24          48            6
55.141300        18       24       30       17       27       33     35      40    24          48            6
56.044961        18       24       30       17       27       33     35      40    24          48            6
56.948622        18       24       30       17       27       33     35      40    24          48            6
57.852282        18       24       30       17       27       33     35      40    24          48            6
58.755943        18       24       30       17       27       33     35      40    24          48            6
59.659604        18       24       30       17       27       33     35      40    24          48            6
60.563264        18       24       30       17       27       33     36      40    24          48            6
61.466925        18       24       31       17       27       33     36      40    24          48            6
62.370586        18       24       31       17       27       33     36      40    24          48            6
63.274246        18       24       31       17       27       33     36      40    24          48            6
64.177907        18       24       31       17       27       34     36      40    24          48            6
65.081568        18       24       31       17       27       34     36      40    24          48            6
65.985228        18       24       31       17       27       34     36      40    24          48            6
66.888889        18       24       31       17       27       34     36      40    24          48            6
67.792550        18       24       31       17       27       34     36      40    24          48            6
68.696210        18       24       31       17       27       34     36      40    24          48            6
69.599871        19       24       31       17       27       34     36      40    24          48            6
70.503532        19       24       31       18       27       34     36      40    24          48            6
71.407192        19       24       31       18       27       34     36      40    24          48            6
72.310853        19       24       31       18       27       34     36      40    24          48            6
73.214514        19       24       31       18       27       34     36      40    24          48            6
74.118174        19       24       31       18       27       34     36      40    24          48            6
75.021835        19       24       31       18       27       34     36      40    24          48            6
75.925495        19       24       32       18       27       34     36      40    24          48            6
76.829156        19       24       32       18       27       34     36      40    25          48            6
77.732817        19       24       32       18       27       34     36      40    25          48            6
78.636477        19       24       32       18       27       34     36      40    25          48            6
79.540138        19       24       32       18       27       34     36      40    25          48            6
80.443799        19       24       32       18       27       34     36      40    25          48            6
81.347459        19       24       32       18       27       34     36      40    25          48            6
82.251120        19       24       33       18       27       34     36      40    25          48            6
83.154781        19       24       33       18       27       34     36      40    25          48            6
84.058441        19       24       33       18       28       34     36      40    25          48            6
84.962102        19       24       33       18       28       34     36      40    25          48            6
85.865763        19       24       33       18       28       34     36      40    25          48            6
86.769423        19       24       33       18       28       34     36      40    25          48            6
87.673084        19       24       33       18       28       34     36      40    25          48            6
88.576745        19       24       33       18       28       34     36      40    25          48            6
89.480405        19       24       33       18       28       34     37      40    25          48            6
90.384066        19       24       33       18       28       34     37      41    26          48            7
91.287727        19       24       33       19       28       34     38      41    26          48            7
92.191387        19       24       33       19       28       34     38      41    27          48            7
93.095048        19       24       33       19       28       34     38      41    27          48            7
93.998709        19       24       34       19       28       34     38      41    27          48            7
94.902369        19       24       34       19       28       34     38      41    27          48            7
95.806030        19       24       35       19       28       34     38      41    27          49            7
96.709691        19       24       35       19       28       34     38      41    27          49            7
97.613351        19       24       35       19       28       34     38      41    27          49            7
98.517012        19       24       35       19       28       34     38      41    27          49            7
99.420673        19       24       35       19       28       34     38      41    27          49            7
100.324333       19       24       35       19       28       34     38      41    27          49            7
101.227994       19       24       35       19       28       35     38      41    27          49            7
102.131655       19       24       35       19       28       35     38      41    27          49            7
103.035315       19       24       35       19       28       35     39      41    27          49            7
103.938976       19       24       35       19       28       35     39      41    28          49            7
104.842637       19       24       35       19       28       35     39      41    28          49            7
105.746297       19       24       35       19       28       35     39      41    28          49            7
106.649958       19       24       35       19       28       35     39      41    28          49            7
107.553619       19       24       35       19       28       35     39      41    28          49            7
108.457279       19       24       35       19       28       35     39      41    28          49            7
109.360940       19       24       35       19       28       35     39      41    28          49            7
110.264601       19       24       35       19       28       35     39      41    28          49            7
111.168261       19       24       35       19       28       35     39      41    28          49            7
112.071922       19       24       35       19       28       35     39      41    28          49            7
112.975583       19       24       35       19       28       35     39      41    28          49            7
113.879243       19       24       35       19       28       35     39      41    28          49            7
114.782904       19       24       35       19       28       35     40      41    28          49            7
115.686565       19       24       35       19       28       35     40      41    28          49            7
116.590225       19       24       35       19       28       35     40      41    28          49            7
117.493886       19       24       35       19       28       35     40      41    28          49            7
118.397547       19       24       35       19       28       35     40      41    29          49            7
119.301207       19       24       35       19       28       35     40      42    29          49            7
120.204868       19       24       35       19       28       35     40      42    29          49            7
121.108529       19       24       35       19       28       35     40      42    29          49            7
122.012189       19       24       35       19       28       35     40      42    29          49            7
122.915850       19       24       35       19       28       35     40      42    29          49            7
123.819511       19       24       35       19       28       35     40      42    29          49            7
124.723171       19       24       35       19       28       35     40      42    29          49            7
125.626832       19       24       35       19       28       35     40      42    29          49            7
126.530492       19       24       35       19       28       35     40      42    29          49            7
127.434153       19       24       35       19       28       35     40      42    29          49            7
128.337814       19       24       35       19       28       35     40      42    29          49            7
129.241474       19       24       35       19       28       35     40      42    29          49            7
130.145135       19       24       35       19       28       35     40      42    29          49            7
131.048796       19       24       35       19       28       35     40      42    29          49            7
131.952456       19       24       35       19       28       35     40      42    29          49            7
132.856117       19       24       35       19       28       35     40      42    29          49            7
133.759778       19       24       35       19       28       35     40      42    29          49            7
134.663438       19       24       35       19       28       35     40      42    29          49            7
135.567099       19       24       35       19       28       36     40      42    30          49            7
136.470760       19       24       35       19       28       36     40      42    30          49            7
137.374420       19       24       35       19       28       36     40      42    30          49            7
138.278081       19       24       35       19       28       36     40      42    30          49            7
139.181742       19       24       35       19       28       36     40      42    30          49            7
140.085402       19       24       35       19       28       36     40      42    30          49            7
140.989063       19       24       35       19       28       36     40      42    30          49            7
141.892724       19       24       35       19       28       36     40      42    30          49            7
142.796384       19       24       35       19       28       36     40      42    30          49            7
143.700045       19       24       35       19       28       36     40      43    30          50            7
144.603706       19       25       35       19       28       36     40      43    30          50            8
145.507366       19       25       35       19       28       36     40      43    30          50            8
146.411027       19       25       35       19       28       36     40      43    30          50            8
147.314688       19       25       35       19       28       36     40      43    30          50            8
148.218348       19       25       35       19       28       36     40      43    30          50            8
149.122009       19       25       35       19       28       36     40      43    30          50            8
150.025670       19       25       35       19       28       36     40      43    30          50            8
150.929330       19       25       35       19       28       36     40      43    30          50            8
151.832991       19       25       35       19       28       36     40      43    30          50            8
152.736652       19       25       35       19       28       36     40      43    30          50            8
153.640312       19       25       35       19       28       36     40      43    30          50            8
154.543973       19       25       35       19       28       36     40      43    30          50            8
155.447634       19       26       35       19       28       36     40      43    30          50            8
156.351294       19       26       35       19       28       36     40      43    30          50            8
157.254955       19       26       35       19       28       36     40      43    30          50            8
158.158616       19       26       35       19       28       36     40      43    30          50            8
159.062276       19       26       35       19       28       36     40      43    30          50            8
159.965937       19       26       35       19       28       36     40      43    30          50            8
160.869598       19       26       35       19       28       36     40      43    30          50            8
161.773258       19       26       36       19       28       36     40      43    30          50            8
162.676919       20       26       36       19       28       36     40      43    30          50            8
163.580580       20       26       36       19       28       36     40      43    30          50            8
164.484240       20       26       36       19       28       36     40      43    30          50            8
165.387901       20       26       36       19       28       36     40      43    30          50            8
166.291562       20       26       36       19       28       36     40      43    30          50            8
167.195222       20       26       36       19       28       36     40      43    30          50            8
168.098883       20       26       36       19       28       36     40      43    30          50            8
169.002544       20       26       36       19       28       36     40      43    30          50            8
169.906204       20       26       36       19       28       36     40      43    30          50            8
170.809865       20       26       36       19       28       36     40      43    30          50            8
171.713526       20       26       36       19       28       36     40      43    30          50            8
172.617186       20       26       36       19       28       36     40      43    30          50            8
173.520847       20       26       36       19       28       36     40      43    30          50            8
174.424508       20       26       36       19       28       36     40      43    30          50            8
175.328168       20       26       36       19       28       36     40      43    30          50            8
176.231829       20       26       36       19       28       36     40      43    30          50            8
177.135489       20       26       36       19       28       36     40      43    30          50            8
178.039150       20       26       36       19       28       36     40      43    30          50            8
178.942811       20       26       36       19       28       36     40      43    30          50            8
179.846471       20       26       36       19       28       36     40      43    30          50            8
180.750132       20       26       36       19       28       36     40      43    30          50            8
181.653793       20       26       36       19       28       36     40      43    30          50            8
182.557453       20       26       36       19       28       36     40      43    30          50            8
183.461114       20       26       36       19       28       36     40      43    30          50            8
184.364775       20       26       36       19       28       36     40      43    30          50            8
185.268435       20       26       36       19       28       36     40      43    30          50            8
186.172096       20       26       36       19       28       36     40      43    30          50            8
187.075757       20       26       36       19       28       36     40      43    30          50            8
187.979417       20       26       36       19       28       36     40      43    30          50            8
188.883078       20       26       36       19       28       36     40      43    30          50            8
189.786739       20       26       36       19       28       36     40      43    30          50            8
190.690399       20       26       36       19       28       36     40      43    30          50            8
191.594060       20       26       36       19       28       36     40      43    30          50            8
192.497721       20       26       36       19       28       36     40      43    30          50            8
193.401381       20       26       36       19       28       36     40      43    30          50            8
194.305042       20       26       36       19       28       36     40      43    30          50            8
195.208703       20       26       36       19       28       36     40      43    30          50            8
196.112363       20       26       36       19       28       36     40      43    30          50            8
197.016024       20       26       36       19       28       36     41      43    30          50            8
197.919685       20       26       36       19       28       36     41      43    30          50            8
198.823345       20       26       36       19       28       36     41      43    30          50            8
199.727006       20       26       36       19       28       36     41      43    30          50            8
200.630667       20       26       36       19       28       36     41      43    30          50            8
201.534327       20       26       36       19       28       36     41      43    30          50            8
202.437988       20       26       36       19       29       36     41      43    30          50            8
203.341649       20       26       36       19       29       36     41      43    30          50            8
204.245309       20       26       36       19       29       36     41      43    30          50            8
205.148970       20       26       36       19       29       36     41      43    30          50            8
206.052631       20       26       36       19       29       36     41      43    30          50            8
206.956291       20       26       36       19       29       36     41      43    30          50            8
207.859952       20       26       36       19       29       36     41      43    30          50            8
208.763613       20       26       36       19       29       36     41      43    30          50            8
209.667273       20       26       36       19       29       36     41      43    30          50            8
210.570934       20       26       36       19       29       36     41      43    30          50            8
211.474595       20       26       36       19       30       36     41      43    30          50            8
212.378255       20       26       36       19       30       36     41      43    30          50            8
213.281916       20       26       36       19       30       36     41      43    30          50            8
214.185577       20       26       36       19       30       36     41      43    30          50            8
215.089237       20       26       36       19       30       36     41      43    30          50            8
215.992898       20       26       36       19       30       36     41      43    30          50            8
216.896559       20       26       36       19       30       36     41      43    30          50            8
217.800219       20       26       36       19       30       36     41      43    30          50            8
218.703880       20       26       36       19       30       36     41      43    30          50            8
219.607541       20       26       36       19       30       36     41      43    30          50            8
220.511201       20       26       36       19       30       36     41      43    30          50            8
221.414862       20       26       36       19       30       36     41      43    30          50            8
222.318523       20       26       36       19       30       36     41      43    30          50            8
223.222183       20       26       36       19       30       36     41      43    30          50            8
224.125844       20       26       36       19       30       36     41      43    30          50            8
225.029505       20       26       36       19       30       36     41      43    30          50            8
225.933165       20       26       36       19       30       36     41      43    30          50            8
226.836826       20       26       36       19       30       36     41      43    30          50            8
227.740486       20       26       36       19       30       36     41      43    30          50            8
228.644147       20       26       36       19       30       36     41      43    30          50            8
229.547808       20       26       36       19       30       36     41      43    30          50            8
230.451468       20       26       36       19       30       36     41      43    30          50            8
231.355129       20       26       36       19       30       36     41      43    30          50            8
232.258790       20       26       36       19       30       36     41      43    30          50            8
233.162450       20       26       36       19       30       36     41      43    30          50            8
234.066111       20       26       36       19       30       36     41      43    30          50            8
234.969772       20       26       36       19       31       36     41      43    30          50            8
235.873432       20       26       36       19       31       36     41      43    30          50            8
236.777093       20       26       36       19       31       36     41      43    30          50            8
237.680754       20       26       36       19       31       36     41      43    30          50            8
238.584414       20       26       36       19       31       36     41      43    30          50            8
239.488075       20       26       36       19       31       36     41      43    30          50            8
240.391736       20       26       36       19       31       36     42      43    30          50            8
241.295396       20       26       36       19       31       36     42      43    30          50            8
242.199057       20       26       36       19       31       36     42      43    30          50            8
243.102718       20       26       36       19       31       36     42      43    30          50            8
244.006378       20       26       36       19       31       36     42      43    30          50            8
244.910039       20       26       36       19       31       36     42      43    30          50            8
245.813700       20       26       36       19       31       36     42      43    30          50            8
246.717360       20       26       36       19       31       36     42      43    30          50            8
247.621021       20       26       36       19       31       36     42      43    30          50            8
