Absolute performance profile for SolverTime
Filter: gap <= 1% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.018000          0        0        0        0        0        0      0       1     0           1            0
0.948913          9       11       10        8        9       10     15      20    12          25            3
1.879826         11       12       10        9       12       11     18      24    14          29            5
2.810739         11       12       12       11       12       12     21      24    14          30            5
3.741652         13       13       14       11       12       12     22      26    14          34            5
4.672565         13       13       15       11       12       13     23      28    15          35            5
5.603477         13       14       16       13       13       14     23      29    15          36            5
6.534390         13       14       16       14       13       14     23      29    15          36            5
7.465303         13       14       16       14       16       14     23      29    15          38            5
8.396216         15       14       17       14       16       14     24      31    16          40            5
9.327129         16       14       17       14       16       15     24      32    16          41            5
10.258042        17       14       20       14       17       15     24      32    16          41            5
11.188955        17       14       21       14       17       16     26      33    17          41            5
12.119868        17       14       21       14       19       19     26      34    17          42            5
13.050781        17       16       22       14       20       19     26      35    17          44            5
13.981694        17       16       23       14       20       20     26      36    18          44            5
14.912607        17       17       23       15       20       20     28      36    18          44            5
15.843520        17       18       24       15       20       20     29      37    18          44            5
16.774432        17       19       24       17       20       21     29      37    19          44            5
17.705345        17       19       24       17       21       22     29      37    19          44            5
18.636258        17       20       24       17       21       22     30      38    19          45            5
19.567171        17       21       24       17       22       22     30      38    19          45            5
20.498084        17       21       24       17       22       22     30      38    19          45            5
21.428997        17       21       24       17       22       22     30      38    19          45            5
22.359910        17       21       24       17       22       22     30      38    19          45            5
23.290823        17       21       24       17       22       22     30      38    19          45            5
24.221736        17       21       24       17       22       22     30      38    19          45            5
25.152649        17       22       24       17       22       23     30      38    19          45            5
26.083562        17       22       24       17       22       24     30      38    19          45            5
27.014474        17       22       24       17       22       25     30      38    19          45            5
27.945387        17       22       24       17       22       25     30      38    19          45            5
28.876300        17       22       24       17       22       26     31      38    19          46            5
29.807213        17       22       24       17       23       27     31      38    19          46            5
30.738126        17       22       24       17       23       27     32      38    21          46            5
31.669039        17       22       24       17       23       27     32      38    21          46            5
32.599952        17       22       24       17       23       27     32      38    21          46            5
33.530865        17       22       24       17       23       27     32      38    21          46            5
34.461778        17       23       24       17       24       27     33      39    22          46            6
35.392691        17       23       25       17       24       27     33      39    22          46            6
36.323604        17       23       26       17       24       29     33      39    22          46            6
37.254517        17       23       26       17       24       30     33      39    22          46            6
38.185429        17       23       26       17       24       30     33      40    23          46            6
39.116342        17       23       26       17       25       30     34      40    23          46            6
40.047255        17       23       26       17       25       32     35      40    23          46            7
40.978168        17       23       27       17       25       32     35      40    23          46            7
41.909081        17       23       28       17       25       32     35      40    23          46            7
42.839994        17       23       28       17       25       32     35      40    23          46            7
43.770907        17       23       28       17       25       32     35      40    23          46            7
44.701820        17       23       29       17       25       32     35      40    24          47            7
45.632733        18       23       29       17       25       32     35      40    24          47            7
46.563646        18       23       29       17       25       32     35      40    24          47            7
47.494559        18       23       29       17       25       32     35      40    24          47            7
48.425471        18       23       29       17       26       32     35      40    24          47            7
49.356384        18       23       29       17       26       32     35      40    24          47            7
50.287297        18       23       30       17       27       32     35      40    24          47            7
51.218210        18       23       30       17       27       32     35      40    24          47            7
