Absolute performance profile for SolverTime
Filter: within 10% of known optimal value and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.022000          0        0        0        0        0        0      0       1     0           1            0
0.942940          7        7        7        6        7        8     10      12     8          14            5
1.863880          7        8        7        6        8        8     11      13    10          14            5
2.784820          7        8        8        6        8        8     13      14    10          15            5
3.705760          7        9        9        6        8        8     13      16    10          17            5
4.626700          7        9       10        6        8        9     13      16    10          17            5
5.547640          7        9       10        6        9        9     13      17    10          18            5
6.468580          7        9       10        7        9        9     13      17    10          18            5
7.389520          7        9       10        7        9        9     13      17    10          18            5
8.310459          9        9       10        7        9        9     13      17    10          18            5
9.231399         10        9       10        7        9        9     13      17    10          18            5
10.152339        10        9       10        7        9        9     13      17    10          18            5
11.073279        10        9       10        7        9        9     13      17    10          18            5
11.994219        10        9       10        7        9       10     13      17    10          18            5
12.915159        10        9       10        7        9       10     13      17    10          18            5
13.836099        10        9       10        7        9       10     13      17    10          18            5
14.757039        10        9       10        7        9       10     13      17    10          18            5
15.677979        10        9       10        7        9       10     13      17    10          18            5
16.598919        10        9       10        8        9       10     13      17    10          18            5
17.519859        10        9       10        8       10       10     13      17    10          18            5
18.440799        10        9       10        8       10       10     13      17    10          18            5
19.361739        10        9       10        8       10       10     13      17    10          18            5
20.282679        10        9       10        8       10       10     13      17    10          18            5
21.203619        10        9       10        8       10       10     13      17    10          18            5
22.124559        10        9       10        8       10       10     13      17    10          18            5
23.045498        10        9       10        8       10       10     13      17    10          18            5
23.966438        10        9       10        8       10       10     13      17    10          18            5
24.887378        10        9       10        8       10       11     13      17    10          18            5
25.808318        10        9       10        8       10       11     13      17    10          18            5
26.729258        10        9       10        8       10       11     13      17    10          18            5
27.650198        10        9       10        8       10       11     13      17    10          18            5
28.571138        10        9       10        8       10       11     13      17    10          18            5
29.492078        10        9       10        8       10       11     13      17    10          18            5
30.413018        10        9       10        8       11       12     14      17    12          18            5
31.333958        10        9       10        8       11       12     14      17    12          18            5
32.254898        10        9       10        8       11       12     14      17    12          18            5
33.175838        10        9       10        8       11       12     14      17    12          18            5
34.096778        10        9       10        8       11       12     14      17    12          18            5
35.017718        10        9       11        8       11       12     14      17    12          18            5
35.938658        10        9       11        8       11       12     14      17    12          18            5
