Relative performance profile for SolverTime
Filter: no fail
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
1.000000           4        0        2       12        0        3     15     5          41            0
1.016578           8        4        7       12        5        7     15     8          41            0
1.033432           8        5        7       12        5        7     16    13          41            1
1.050565           8        5        7       12        5        7     21    14          41            4
1.067981           8        5        7       12        5        7     21    14          41            4
1.085687           8        5        7       12        5        7     21    14          41            4
1.103686           8        5        7       12        6        8     22    14          41            4
1.121983           8        5        7       12        6        8     22    14          41            4
1.140584           8        5        7       12        6        8     22    14          41            4
1.159493           8        5        7       12        6        8     22    14          41            4
1.178716           8        5        7       12        6        8     22    15          41            4
1.198257           8        5        7       12        6        8     22    15          41            4
1.218122           8        5        7       12        6        8     22    15          41            4
1.238317           8        5        7       12        6        8     22    15          41            4
1.258846           9        5        7       12        7        8     22    15          41            4
1.279716           9        5        7       12        7        8     22    15          41            4
1.300932           9        6        7       12        7        8     23    16          41            4
1.322499           9        6        8       12        7        8     24    16          41            4
1.344424          10        6        8       12        7        8     24    16          41            4
1.366713          10        6        9       12        7        8     24    16          41            4
1.389371          10        6        9       13        7        8     24    16          41            4
1.412405          10        6        9       13        7        9     24    16          41            4
1.435820          10        6       10       13        7        9     24    18          41            4
1.459624          10        6       11       13        7       10     24    19          41            4
1.483822          10        6       11       13        7       10     24    19          41            4
1.508422          10        6       11       13        7       11     24    19          41            4
1.533429          10        6       11       13        7       11     24    19          41            4
1.558851          10        6       11       13        7       11     24    19          41            4
1.584694          10        6       11       13        7       11     24    19          41            4
1.610966          10        6       11       13        7       11     24    19          41            4
1.637673          10        6       11       13        7       12     24    19          41            4
1.664823          10        6       11       13        7       12     24    19          41            4
1.692424          10        6       11       13        7       12     24    19          41            4
1.720482          10        6       11       13        7       12     25    19          41            4
1.749004          10        6       12       14        7       12     25    19          41            4
1.778000          10        6       13       14        7       12     25    19          41            4
1.807477          10        6       13       15        7       12     26    19          41            4
1.837442          10        6       13       15        7       12     26    19          41            4
1.867904          11        6       13       15        7       12     27    19          41            4
1.898871          11        7       13       15        7       12     27    19          41            5
1.930351          11        7       13       16        7       12     27    19          41            5
1.962354          11        8       13       16        7       12     27    19          41            5
1.994887          11        9       15       17        7       12     27    19          41            5
2.027959          11        9       16       18        7       13     28    19          41            5
2.061579          12        9       16       19        7       13     28    19          41            5
2.095757          12        9       16       19        7       13     28    19          41            5
2.130501          12        9       16       19        7       13     28    19          41            5
2.165822          12        9       16       19        7       13     28    19          41            5
2.201728          12        9       16       19        8       13     28    19          41            5
2.238229          12        9       17       19        8       13     28    19          41            5
2.275336          12        9       17       20        9       13     28    19          41            5
2.313057          12        9       17       20        9       14     28    19          41            5
2.351404          12        9       17       20        9       14     28    19          41            5
2.390387          12        9       17       20        9       15     28    19          41            5
2.430016          13        9       18       20        9       15     28    19          41            6
2.470302          13        9       19       20       10       15     28    20          41            6
2.511256          13       10       19       20       10       16     28    20          41            7
2.552888          13       11       19       20       10       16     28    20          41            7
2.595211          13       12       19       20       10       16     28    20          41            7
2.638236          13       12       19       20       10       16     28    20          41            7
2.681974          14       12       20       20       10       16     28    20          41            7
2.726437          14       12       20       20       10       16     28    20          41            7
2.771637          14       12       20       20       11       18     28    20          41            8
2.817587          14       12       20       20       11       18     28    20          41            8
2.864298          14       12       20       20       11       18     28    20          41            8
2.911784          14       12       20       20       11       18     28    20          41            8
2.960057          14       12       21       20       11       18     28    20          41            8
3.009130          14       12       21       20       11       18     29    20          41            8
3.059017          14       12       21       20       11       18     29    20          41            8
3.109731          14       12       21       20       11       18     29    20          41            8
3.161285          14       12       21       20       11       18     30    20          41            8
3.213694          14       12       21       20       11       18     30    20          41            8
3.266973          14       12       21       20       11       18     30    20          41            8
3.321134          14       12       21       20       11       18     30    20          41            8
