Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
1.000000           3        0        2        8        0        2      8     4          27            0
1.016578           7        4        6        8        4        6      8     6          27            0
1.033432           7        4        6        8        4        6      9    10          27            1
1.050565           7        4        6        8        4        6     12    10          27            4
1.067981           7        4        6        8        4        6     12    10          27            4
1.085687           7        4        6        8        4        6     12    10          27            4
1.103686           7        4        6        8        5        7     12    10          27            4
1.121983           7        4        6        8        5        7     12    10          27            4
1.140584           7        4        6        8        5        7     12    10          27            4
1.159493           7        4        6        8        5        7     12    10          27            4
1.178716           7        4        6        8        5        7     12    10          27            4
1.198257           7        4        6        8        5        7     12    10          27            4
1.218122           7        4        6        8        5        7     12    10          27            4
1.238317           7        4        6        8        5        7     12    10          27            4
1.258846           7        4        6        8        5        7     12    10          27            4
1.279716           7        4        6        8        5        7     12    10          27            4
1.300932           7        5        6        8        5        7     13    11          27            4
1.322499           7        5        7        8        5        7     14    11          27            4
1.344424           8        5        7        8        5        7     14    11          27            4
1.366713           8        5        7        8        5        7     14    11          27            4
1.389371           8        5        7        8        5        7     14    11          27            4
1.412405           8        5        7        8        5        8     14    11          27            4
1.435820           8        5        8        8        5        8     14    11          27            4
1.459624           8        5        9        8        5        8     14    12          27            4
1.483822           8        5        9        8        5        8     14    12          27            4
1.508422           8        5        9        8        5        9     14    12          27            4
1.533429           8        5        9        8        5        9     14    12          27            4
1.558851           8        5        9        8        5        9     14    12          27            4
1.584694           8        5        9        8        5        9     14    12          27            4
1.610966           8        5        9        8        5        9     14    12          27            4
1.637673           8        5        9        8        5       10     14    12          27            4
1.664823           8        5        9        8        5       10     14    12          27            4
1.692424           8        5        9        8        5       10     14    12          27            4
1.720482           8        5        9        8        5       10     14    12          27            4
1.749004           8        5        9        9        5       10     14    12          27            4
1.778000           8        5        9        9        5       10     14    12          27            4
1.807477           8        5        9       10        5       10     15    12          27            4
1.837442           8        5        9       10        5       10     15    12          27            4
1.867904           8        5        9       10        5       10     16    12          27            4
1.898871           8        5        9       10        5       10     16    12          27            4
1.930351           8        5        9       11        5       10     16    12          27            4
1.962354           8        5        9       11        5       10     16    12          27            4
1.994887           8        6       10       12        5       10     16    12          27            4
2.027959           8        6       10       12        5       10     16    12          27            4
2.061579           8        6       10       13        5       10     16    12          27            4
2.095757           8        6       10       13        5       10     16    12          27            4
2.130501           8        6       10       13        5       10     16    12          27            4
2.165822           8        6       10       13        5       10     16    12          27            4
2.201728           8        6       10       13        5       10     16    12          27            4
2.238229           8        6       11       13        5       10     16    12          27            4
2.275336           8        6       11       14        6       10     16    12          27            4
2.313057           8        6       11       14        6       11     16    12          27            4
2.351404           8        6       11       14        6       11     16    12          27            4
2.390387           8        6       11       14        6       12     16    12          27            4
2.430016           9        6       12       14        6       12     16    12          27            5
2.470302           9        6       12       14        6       12     16    12          27            5
2.511256           9        7       12       14        6       12     16    12          27            5
2.552888           9        7       12       14        6       12     16    12          27            5
2.595211           9        7       12       14        6       12     16    12          27            5
2.638236           9        7       12       14        6       12     16    12          27            5
2.681974           9        7       13       14        6       12     16    12          27            5
2.726437           9        7       13       14        6       12     16    12          27            5
2.771637           9        7       13       14        6       13     16    12          27            5
2.817587           9        7       13       14        6       13     16    12          27            5
2.864298           9        7       13       14        6       13     16    12          27            5
2.911784           9        7       13       14        6       13     16    12          27            5
2.960057           9        7       14       14        6       13     16    12          27            5
3.009130           9        7       14       14        6       13     17    12          27            5
3.059017           9        7       14       14        6       13     17    12          27            5
3.109731           9        7       14       14        6       13     17    12          27            5
3.161285           9        7       14       14        6       13     17    12          27            5
3.213694           9        7       14       14        6       13     17    12          27            5
3.266973           9        7       14       14        6       13     17    12          27            5
3.321134           9        7       14       14        6       13     17    12          27            5
3.376193           9        7       14       14        6       13     17    12          27            5
3.432165           9        7       15       14        6       13     17    12          27            5
3.489066           9        7       15       14        6       13     17    12          27            5
3.546909           9        7       15       14        6       13     17    12          27            5
3.605711           9        7       15       14        6       13     17    12          27            5
3.665488           9        7       16       14        6       13     17    12          27            5
3.726257           9        8       16       14        6       13     17    12          27            5
3.788032           9        8       16       14        6       13     17    12          27            5
3.850832           9        8       16       14        6       13     17    12          27            5
3.914673          10        9       17       15        7       14     17    12          27            6
3.979572          10        9       17       15        7       14     17    12          27            6
4.045548          10        9       17       15        8       14     17    12          27            6
