Relative performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
1.000000          4        0        2        8        0        2     14     5          35            0
1.013161          4        0        2        8        0        2     14     7          35            0
1.026495          4        0        2        8        0        2     14     7          35            0
1.040004          4        0        2        8        0        2     15     8          35            0
1.053692          4        0        2        8        0        2     15     8          35            0
1.067559          4        0        2        8        0        2     15     8          35            0
1.081609          4        0        2        8        0        2     15     8          35            0
1.095844          4        0        2        8        1        2     16     8          35            0
1.110266          4        0        2        8        1        3     16     8          35            0
1.124878          4        0        2        8        1        3     16     8          35            0
1.139683          4        0        2        8        1        3     16     8          35            0
1.154682          4        0        2        8        1        3     16     8          35            0
1.169879          4        0        2        8        1        3     16     8          35            0
1.185275          4        0        2        8        1        3     16     9          35            0
1.200874          4        0        2        8        1        3     16     9          35            0
1.216679          4        0        2        8        1        3     16     9          35            0
1.232691          4        0        2        8        1        3     16     9          35            0
1.248915          5        0        2        8        2        3     16     9          35            0
1.265352          5        0        2        8        2        3     16     9          35            0
1.282005          5        0        2        8        2        3     16     9          35            0
1.298877          5        1        2        8        2        3     17    10          35            0
1.315971          5        1        3        8        2        3     18    10          35            0
1.333291          5        1        3        8        2        3     18    10          35            0
1.350838          6        1        3        8        2        3     18    10          35            0
1.368616          6        1        3        8        2        3     18    10          35            0
1.386628          6        1        3        9        2        3     18    10          35            0
1.404877          6        1        3        9        2        4     18    10          35            0
1.423367          6        1        3        9        2        4     18    12          35            0
1.442099          6        1        4        9        2        4     18    12          35            0
1.461079          6        1        5        9        2        5     18    13          35            0
1.480308          6        1        5        9        2        5     18    13          35            0
1.499790          6        1        5        9        2        6     18    13          35            0
1.519528          6        1        5        9        2        6     18    13          35            0
1.539527          6        1        5        9        2        6     18    13          35            0
1.559788          6        1        5        9        2        6     18    13          35            0
1.580316          6        1        5        9        2        6     18    13          35            0
1.601114          6        1        5        9        2        6     18    13          35            0
1.622187          6        1        5        9        2        6     18    13          35            0
1.643536          6        1        5        9        2        7     18    13          35            0
1.665166          6        1        5        9        2        7     18    13          35            0
1.687081          6        1        5        9        2        7     18    13          35            0
1.709285          6        1        5        9        2        7     19    13          35            0
1.731780          6        1        6        9        2        7     19    13          35            0
1.754572          6        1        6       10        2        7     19    13          35            0
1.777664          6        1        6       10        2        7     19    13          35            0
1.801059          6        1        6       10        2        7     20    13          35            0
1.824763          6        1        6       11        2        7     20    13          35            0
1.848778          7        1        6       11        2        7     21    13          35            0
1.873110          7        1        6       11        2        7     21    13          35            0
1.897761          7        1        6       11        2        7     21    13          35            0
1.922737          7        1        6       12        2        7     21    13          35            0
1.948042          7        2        6       12        2        7     21    13          35            0
1.973680          7        3        7       12        2        7     21    13          35            0
1.999656          7        3        8       13        2        7     21    13          35            0
2.025973          7        3        9       13        2        8     22    13          35            0
2.052636          8        3        9       14        2        8     22    13          35            0
2.079651          8        3        9       15        2        8     22    13          35            0
2.107021          8        3        9       15        2        8     22    13          35            0
2.134751          8        3        9       15        2        8     22    13          35            0
2.162846          8        3        9       15        2        8     22    13          35            0
2.191311          8        3        9       15        3        8     22    13          35            0
2.220150          8        3        9       15        3        8     22    13          35            0
2.249369          8        3       10       15        4        8     22    13          35            0
2.278973          8        3       10       16        4        8     22    13          35            0
2.308966          8        3       10       16        4        9     22    13          35            0
2.339354          8        3       10       16        4        9     22    13          35            0
2.370142          8        3       10       16        4        9     22    13          35            0
2.401335          8        3       11       16        4        9     22    13          35            0
2.432939          8        3       11       16        4        9     22    13          35            0
2.464958          8        3       12       16        5        9     22    14          35            0
2.497399          8        3       12       16        5        9     22    14          35            0
2.530267          8        5       12       16        5       10     22    14          35            1
2.563568          8        5       12       16        5       10     22    14          35            1
2.597306          8        5       12       16        5       10     22    14          35            1
2.631489          8        5       12       16        5       10     22    14          35            1
2.666122          9        5       12       16        5       10     22    14          35            1
2.701210          9        5       13       16        5       10     22    14          35            1
2.736760          9        5       13       16        5       10     22    14          35            1
2.772778          9        5       13       16        6       12     22    14          35            1
2.809271          9        5       13       16        6       12     22    14          35            1
2.846243          9        5       13       16        6       12     22    14          35            1
2.883702          9        5       13       16        6       12     22    14          35            1
2.921654          9        5       14       16        6       12     22    14          35            1
2.960105          9        5       14       16        6       12     22    14          35            1
2.999063          9        5       14       16        6       12     22    14          35            1
3.038533          9        5       14       16        6       12     23    14          35            1
3.078523          9        5       14       16        6       12     23    14          35            1
3.119039          9        5       14       16        6       12     23    14          35            1
3.160088          9        5       14       16        6       12     24    14          35            1
3.201677          9        5       14       16        6       12     24    14          35            1
3.243814          9        5       14       16        6       12     24    14          35            1
3.286506          9        5       14       16        6       12     24    14          35            1
3.329759          9        5       14       16        6       12     24    14          35            1
3.373581          9        5       14       16        6       12     24    14          35            1
3.417980          9        5       15       16        6       12     24    14          35            1
3.462964          9        6       15       16        6       12     24    14          35            1
3.508540          9        6       15       16        6       12     24    14          35            1
3.554715          9        6       15       16        6       12     24    14          35            1
3.601498          9        6       15       16        6       12     24    14          35            1
3.648897          9        6       16       16        6       12     24    14          35            1
3.696919          9        7       16       16        6       12     24    15          35            1
3.745574          9        7       16       16        6       12     24    15          35            1
3.794869          9        7       16       17        6       12     24    15          35            1
3.844813          9        7       16       17        6       12     24    15          35            1
3.895414          9        7       16       17        6       12     24    15          35            1
3.946681          9        7       16       17        6       12     24    15          35            1
3.998622          9        7       17       17        6       12     24    15          35            1
4.051247          9        7       17       17        7       12     24    15          35            1
4.104565          9        7       17       17        7       13     24    15          35            1
4.158585          9        9       17       17        7       13     24    15          35            1
4.213315          9        9       17       17        7       13     24    16          35            1
4.268766          9       10       17       17        7       13     24    16          35            1
4.324947          9       10       17       17        7       14     25    16          35            1
4.381867          9       10       17       18        7       14     25    16          35            1
4.439536          9       10       17       18        7       14     25    16          35            1
4.497964          9       10       18       18        7       14     25    16          35            1
4.557161          9       10       18       18        7       14     25    16          35            1
4.617137          9       10       18       18        7       14     26    16          35            1
4.677903          9       10       18       18        7       14     26    16          35            1
4.739468          9       10       18       19        7       14     26    17          35            1
4.801843          9       10       18       19        7       14     26    17          35            1
4.865039          9       10       18       19        7       14     26    17          35            1
4.929067          9       10       18       19        7       14     26    17          35            1
4.993938          9       10       19       19        8       14     26    17          35            1
5.059663          9       11       19       19        8       14     26    17          35            1
5.126252          9       11       19       19        8       14     26    17          35            1
5.193718          9       11       19       19        9       14     26    17          35            2
5.262072          9       11       19       19        9       14     27    17          35            2
5.331325          9       11       19       19        9       14     27    17          35            2
5.401490          9       11       19       19        9       14     27    17          35            2
5.472578          9       11       19       19        9       14     27    17          35            2
5.544602          9       12       20       19        9       14     27    17          35            2
5.617573          9       12       20       19        9       15     27    17          35            2
5.691506          9       12       20       19        9       15     27    17          35            2
5.766411          9       12       20       19        9       15     27    17          35            2
5.842301          9       12       20       19        9       15     27    17          35            2
5.919191          9       12       20       19       10       15     27    17          35            2
5.997093          9       12       20       19       10       15     27    17          35            2
6.076020          9       12       20       19       11       15     27    17          35            2
6.155985          9       12       20       19       11       15     27    17          35            2
6.237003          9       12       20       19       11       15     27    17          35            2
6.319087          9       12       20       19       12       15     27    17          35            2
6.402252          9       12       20       19       12       16     27    17          35            2
6.486511          9       12       20       19       12       16     27    17          35            2
6.571879          9       12       20       19       13       16     27    17          35            2
6.658371          9       12       20       19       13       16     27    17          35            2
6.746000          9       12       20       19       13       17     27    17          35            2
6.834783          9       12       20       19       13       17     27    17          35            2
6.924735          9       12       20       19       13       17     27    17          35            2
7.015870          9       12       20       19       13       17     27    17          35            2
7.108205          9       12       20       19       13       17     27    17          35            2
7.201755          9       12       20       19       13       17     27    17          35            2
7.296536          9       12       20       19       13       17     27    17          35            2
7.392565          9       12       20       19       13       17     27    17          35            2
7.489858          9       12       20       19       13       18     27    17          35            2
7.588430          9       12       20       19       14       19     27    18          35            2
7.688301          9       12       20       19       14       19     27    18          35            2
7.789485          9       12       20       19       14       19     27    18          35            2
7.892001          9       12       20       19       14       20     27    18          35            3
7.995867          9       12       20       19       15       20     27    18          35            3
8.101099          9       12       20       19       15       20     27    18          35            3
8.207717          9       12       20       19       15       20     27    18          35            3
8.315737          9       12       20       19       15       20     27    18          35            3
8.425179          9       12       20       19       15       20     27    18          35            3
