Relative performance profile for SolverTime
Filter: no fail
              SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000            4        0        7        8        4        1      4      32     0          60            0
1.010889           12        7       15       11       10        8      5      33     1          60            0
1.021898           12        8       15       11       10        8      5      33     1          60            0
1.033025           12        8       15       11       10        8     11      38     8          60            6
1.044275           12        8       15       11       10        8     12      39     9          60            7
1.055646           12        8       15       11       10        8     12      39     9          60            7
1.067142           12        8       15       11       10        8     12      39     9          60            7
1.078762           12        8       15       11       10        8     12      39     9          60            7
1.090509           12        8       15       11       10        9     12      39     9          60            7
1.102384           12        8       15       11       10        9     12      39     9          60            7
1.114389           12        8       15       11       10        9     13      39     9          60            7
1.126524           12        8       15       11       10        9     13      40     9          60            7
1.138791           12        8       15       11       10        9     13      40     9          60            7
1.151192           12        8       15       11       10        9     13      40     9          60            7
1.163728           12        8       15       11       10        9     13      40     9          60            7
1.176400           12        8       15       11       10        9     14      40     9          60            7
1.189211           12        8       15       11       10        9     14      40    10          60            7
1.202161           12        8       15       11       10       10     14      40    10          60            7
1.215251           13        9       16       12       11       11     14      40    10          60            7
1.228485           13        9       16       12       11       11     14      40    10          60            7
1.241862           13        9       16       12       11       11     15      40    11          60            8
1.255386           13        9       17       12       11       11     15      40    11          60            8
1.269056           14        9       17       12       11       11     15      40    11          60            8
1.282876           14        9       17       12       11       11     15      40    11          60            8
1.296845           14        9       17       12       11       11     15      40    12          60            8
1.310967           14        9       17       12       11       11     15      40    12          60            8
1.325243           14        9       17       12       11       11     15      40    12          60            8
1.339674           14        9       17       12       11       11     16      40    12          60            8
1.354263           14        9       17       12       11       11     16      40    12          60            8
1.369010           14        9       17       12       11       11     16      40    12          60            8
1.383918           14        9       17       12       11       11     17      40    12          60            8
1.398988           14        9       18       12       11       11     17      40    12          60            8
1.414222           14        9       18       12       11       11     17      40    12          60            8
1.429622           14        9       18       12       11       11     17      40    12          60            8
1.445190           14        9       19       12       11       11     18      40    12          60            8
1.460927           14        9       19       12       11       11     18      40    12          60            8
1.476836           14        9       19       12       11       11     18      40    12          60            8
1.492918           14        9       20       12       12       11     18      40    12          60            8
1.509175           14        9       20       12       12       11     18      40    12          60            8
1.525609           14        9       20       12       12       11     18      40    12          60            8
1.542222           14        9       20       12       12       11     18      41    12          60            8
1.559016           14        9       20       12       12       11     18      41    12          60            8
1.575993           14       10       20       12       12       11     19      41    12          60            8
1.593155           14       10       20       12       12       11     20      41    12          60            8
1.610504           14       10       20       12       12       11     20      41    12          60            8
1.628041           14       10       20       12       12       11     20      41    12          60            8
1.645770           14       12       20       12       12       11     20      41    14          60            8
1.663691           14       12       20       12       12       11     20      41    14          60            8
1.681808           14       12       20       13       12       11     20      41    14          60            8
1.700122           14       12       20       13       12       11     20      41    14          60            8
1.718635           14       12       20       13       12       11     20      41    14          60            8
1.737350           14       12       20       14       12       11     20      41    14          60            8
1.756269           14       12       20       14       12       11     20      41    14          60            8
1.775394           14       12       20       14       12       11     20      41    14          60            8
1.794727           14       12       20       14       12       11     20      41    14          60            8
1.814271           14       12       20       15       12       11     20      41    15          60            8
1.834027           14       12       20       16       12       11     21      41    15          60            8
1.853999           14       12       20       16       12       11     21      41    16          60            8
1.874188           14       12       20       16       13       11     21      41    16          60            8
1.894597           14       12       21       16       13       11     21      41    16          60            8
1.915228           14       12       21       16       13       11     21      41    16          60            8
1.936084           14       13       21       16       13       11     21      42    16          60            8
1.957167           14       13       21       16       13       11     21      42    16          60            8
1.978479           14       13       21       16       13       11     21      42    16          60            8
2.000024           14       13       21       16       13       11     21      42    16          60            8
2.021803           14       13       21       16       13       12     21      42    16          60            8
2.043820           14       13       21       16       13       12     21      42    16          60            8
2.066076           14       13       21       17       13       12     21      43    16          60            8
2.088574           14       13       21       17       13       12     22      43    17          60            8
2.111318           14       13       21       18       13       12     22      43    17          60            8
2.134309           15       13       21       18       13       12     22      43    17          60            8
2.157550           15       13       21       18       13       12     22      43    17          60            8
2.181045           15       13       21       18       13       12     23      44    17          60            8
2.204795           15       13       21       18       13       12     23      44    17          60            8
2.228805           15       13       21       18       13       12     23      44    17          60            8
2.253075           15       13       21       18       14       12     23      44    17          60            8
2.277610           15       13       21       18       14       12     23      44    17          60            8
2.302412           15       13       21       18       14       12     23      44    17          60            8
2.327484           15       13       21       18       14       12     23      44    17          60            8
2.352829           15       13       21       18       14       12     23      44    17          60            8
2.378450           15       13       21       18       14       12     23      44    17          60            8
2.404350           15       13       21       19       14       12     23      44    17          60            8
2.430532           15       13       21       19       14       12     23      44    17          60            8
2.456999           15       13       21       19       14       13     23      44    17          60            8
2.483755           15       13       21       19       14       13     23      44    17          60            8
2.510802           15       13       21       19       14       13     23      44    17          60            8
2.538143           15       13       21       19       14       13     23      44    17          60            8
2.565782           15       13       22       19       15       13     23      44    17          60            8
2.593722           15       13       22       19       15       13     23      44    17          60            8
2.621966           15       14       23       19       15       13     24      44    18          60            8
2.650518           16       14       23       19       15       13     24      44    18          60            8
2.679381           16       14       23       19       15       13     24      44    18          60            8
2.708558           16       15       23       19       15       13     24      44    18          60            8
2.738053           16       15       23       19       15       13     25      45    19          60            8
2.767869           16       15       23       19       15       13     26      45    19          60            8
2.798009           16       15       24       19       16       13     26      45    19          60            8
2.828478           16       15       24       19       16       13     27      45    19          60            8
2.859279           16       15       24       19       16       13     28      45    19          60            8
2.890415           16       15       24       19       16       13     28      45    19          60            8
2.921890           16       15       24       19       16       13     28      45    19          60            8
2.953708           16       16       24       19       16       13     29      45    19          60            9
2.985872           16       16       24       19       16       13     29      45    19          60            9
3.018387           16       16       25       19       16       13     29      45    19          60            9
3.051255           17       17       25       20       17       14     29      45    19          60            9
3.084482           17       17       25       20       17       14     29      45    19          60            9
3.118070           18       18       25       20       17       14     29      46    19          60            9
3.152025           18       18       25       20       18       14     30      46    21          60            9
3.186348           18       18       25       20       19       14     30      46    21          60            9
3.221046           18       18       25       20       19       14     30      46    21          60            9
3.256122           18       18       25       20       19       14     30      46    21          60            9
3.291579           18       18       25       20       19       14     30      46    21          60            9
3.327423           18       18       25       20       19       15     30      46    21          60            9
3.363657           18       18       25       20       19       15     30      46    22          60            9
3.400285           18       18       25       20       19       15     30      46    22          60            9
3.437312           18       18       26       20       19       15     30      46    23          60            9
3.474743           18       18       26       20       19       15     30      46    24          60            9
3.512581           18       18       26       20       19       15     30      46    24          60            9
3.550831           18       19       27       20       19       16     30      46    24          60            9
3.589498           18       19       28       20       19       17     30      46    24          60            9
3.628586           18       19       28       20       19       18     30      46    24          60            9
3.668099           18       19       28       21       19       19     30      46    24          60            9
3.708043           18       19       28       21       19       19     30      46    24          60            9
3.748421           18       19       28       21       19       19     30      46    24          60            9
3.789240           18       20       28       21       19       19     30      46    24          60            9
3.830502           18       20       28       21       21       20     30      46    24          60            9
3.872215           18       20       28       21       22       20     30      46    24          60            9
3.914381           18       20       28       21       22       20     31      46    24          60            9
3.957007           18       20       28       21       22       20     31      46    24          60            9
4.000096           18       20       28       21       22       20     31      46    24          60            9
4.043655           18       20       28       21       22       20     31      46    24          60            9
4.087689           18       20       28       21       22       20     31      46    24          60            9
4.132201           19       20       28       21       22       20     31      46    24          60            9
4.177199           19       20       28       21       23       21     31      46    24          60           10
4.222686           19       20       29       21       24       21     31      46    24          60           11
4.268669           19       20       29       21       24       21     31      46    24          60           11
4.315153           19       20       29       21       24       21     31      46    24          60           11
4.362142           19       20       29       21       24       21     31      46    24          60           11
4.409644           19       20       29       22       24       23     31      46    24          60           11
4.457663           19       21       29       22       24       23     31      46    24          60           11
4.506204           19       21       29       22       24       23     31      46    24          60           11
4.555274           19       21       29       22       24       23     31      46    24          60           11
4.604879           19       21       29       22       24       24     31      46    24          60           12
4.655024           19       21       29       22       24       24     31      46    24          60           12
4.705715           19       21       29       22       25       25     31      46    24          60           13
4.756957           19       21       29       22       25       25     31      46    24          60           13
4.808758           19       22       29       22       25       25     31      46    24          60           13
4.861123           19       22       29       22       25       25     31      46    24          60           13
4.914058           19       23       30       22       25       25     31      46    24          60           13
4.967570           19       23       30       22       25       26     31      46    24          60           13
5.021664           19       23       30       22       25       26     32      46    24          60           13
5.076347           19       23       30       22       25       27     32      46    24          60           13
5.131626           19       23       30       23       25       27     32      46    24          60           13
5.187507           19       23       30       23       25       28     32      46    24          60           13
5.243996           19       23       30       23       25       28     32      46    24          60           13
5.301100           19       23       30       23       25       28     32      46    24          60           13
5.358826           19       23       30       23       25       28     32      46    24          60           13
5.417181           19       23       31       24       25       28     32      46    24          60           13
5.476171           19       23       31       24       25       28     32      46    24          60           13
5.535804           19       23       31       24       25       28     32      46    24          60           13
5.596086           19       24       31       24       25       28     32      46    24          60           13
5.657024           19       24       32       24       25       28     32      46    24          60           13
5.718627           19       25       33       24       25       28     32      46    24          60           13
5.780899           19       25       33       24       25       28     32      46    24          60           13
5.843850           19       25       33       24       25       28     32      46    24          60           13
5.907487           19       26       33       24       25       28     32      46    24          60           13
5.971816           19       27       33       24       25       28     32      47    24          60           13
6.036846           19       28       33       24       25       28     32      48    25          60           13
6.102584           20       28       33       24       25       28     34      48    25          60           13
6.169038           20       28       33       24       25       28     34      48    25          60           13
6.236216           20       28       33       24       25       28     34      48    26          60           13
6.304125           21       28       34       25       26       29     34      48    26          60           13
6.372774           21       29       34       25       26       29     34      48    26          60           13
6.442170           21       29       34       25       26       30     34      48    27          60           14
6.512322           21       29       34       25       26       30     34      48    27          60           14
6.583237           21       30       34       25       27       30     35      48    27          60           14
6.654925           21       30       34       25       27       30     35      48    27          60           14
6.727394           21       30       35       25       27       30     35      48    27          60           14
6.800652           21       30       35       25       27       30     35      48    27          60           14
6.874707           21       30       35       25       27       30     35      48    27          60           14
6.949569           21       30       35       25       27       30     35      48    27          60           14
7.025246           21       30       35       25       27       30     35      48    27          60           14
7.101748           21       30       35       25       27       30     35      48    27          60           14
7.179082           21       30       35       25       27       30     35      48    27          60           14
7.257258           21       30       36       25       28       30     35      48    27          60           14
7.336286           21       30       36       25       29       30     35      48    27          60           14
7.416175           21       30       36       25       29       30     36      49    27          60           14
7.496933           21       30       36       25       29       30     36      49    28          60           14
7.578570           21       30       37       25       29       30     36      49    28          60           14
7.661097           22       30       38       25       29       30     36      49    28          60           14
7.744522           22       30       39       25       29       31     36      49    29          60           14
7.828856           22       30       39       25       29       31     36      49    29          60           14
7.914108           22       30       39       26       29       31     36      49    29          60           14
8.000289           22       30       39       26       29       32     36      49    29          60           14
8.087408           22       30       39       26       29       32     36      49    29          60           14
8.175475           22       30       39       26       29       32     36      49    29          60           14
8.264502           22       31       39       26       29       32     36      49    29          60           14
8.354498           22       31       39       26       29       32     36      49    29          60           14
8.445474           22       31       39       26       29       32     36      49    29          60           14
8.537441           22       31       39       26       29       32     36      49    29          60           14
8.630409           22       31       39       26       29       32     36      49    29          60           14
8.724390           22       31       39       26       29       33     36      49    29          60           14
8.819394           22       31       39       26       29       33     36      49    30          60           14
8.915433           22       31       39       26       29       33     36      49    30          60           14
9.012517           22       31       39       26       29       33     36      49    30          60           14
9.110659           22       31       39       26       29       33     36      49    30          60           14
9.209869           22       31       39       26       29       33     36      49    30          60           14
9.310160           22       31       39       26       29       34     36      49    30          60           14
9.411542           22       31       39       26       29       34     36      49    30          60           14
9.514029           22       32       39       27       30       36     36      49    30          60           14
9.617632           23       32       39       27       30       36     36      49    30          60           14
9.722363           23       32       39       27       30       36     36      49    30          60           14
9.828234           23       32       39       28       30       36     36      49    31          60           14
9.935259           24       32       39       28       30       36     36      49    31          60           14
10.043448          24       32       39       28       30       36     36      49    31          60           14
10.152816          24       32       40       28       31       36     36      49    31          60           14
10.263375          24       32       40       28       31       36     36      49    31          60           14
10.375138          24       32       40       28       31       36     36      49    31          60           14
10.488118          24       32       40       28       31       36     37      49    31          60           14
10.602328          25       32       40       28       31       36     37      49    31          60           14
10.717782          25       32       40       28       31       37     39      49    31          60           14
10.834493          25       32       40       28       31       37     39      49    31          60           14
10.952475          25       32       40       28       31       37     39      49    31          60           14
11.071741          25       32       40       28       31       37     39      49    31          60           14
11.192307          25       32       41       28       31       37     40      49    31          60           14
11.314185          25       32       41       28       31       37     40      49    31          60           14
11.437391          25       32       41       28       31       37     40      49    31          60           14
11.561938          25       32       41       28       31       37     40      50    32          60           14
11.687841          25       32       41       28       32       37     40      50    32          60           14
11.815116          25       32       41       28       32       37     40      50    32          60           14
11.943776          25       32       41       28       32       37     40      50    32          60           14
12.073838          25       32       41       28       33       37     41      50    32          60           16
12.205315          25       32       41       28       33       37     41      50    32          60           16
12.338225          26       32       41       28       33       37     41      50    32          60           16
12.472582          26       32       41       28       33       37     41      50    32          60           16
12.608402          26       32       41       28       33       37     41      50    32          60           16
12.745700          26       32       41       28       33       37     41      50    32          60           16
12.884495          26       32       41       28       33       37     42      50    32          60           16
13.024800          26       32       41       29       33       37     42      50    32          60           16
13.166633          26       32       41       30       33       38     42      50    32          60           16
13.310011          26       33       41       30       33       38     42      50    32          60           16
13.454950          26       33       41       30       33       38     42      50    32          60           16
13.601467          26       33       41       30       33       38     42      50    32          60           16
13.749580          26       33       41       30       33       38     42      50    32          60           16
13.899306          26       33       41       30       33       38     42      50    32          60           16
14.050662          26       34       41       30       33       39     42      50    32          60           16
14.203666          26       34       41       30       33       39     42      50    32          60           16
14.358337          26       34       41       30       33       39     42      50    32          60           16
14.514692          26       34       41       30       33       39     42      50    32          60           16
14.672749          26       34       41       30       33       39     42      50    32          60           16
14.832528          26       34       41       30       33       39     43      50    32          60           16
14.994046          26       34       41       30       33       39     43      50    32          60           16
15.157323          26       34       41       30       33       39     44      50    32          60           16
15.322379          26       34       41       30       33       39     44      50    32          60           16
15.489231          26       34       41       30       33       39     44      50    33          60           16
15.657901          26       34       41       30       33       39     44      50    33          60           16
15.828407          26       34       41       30       33       39     44      50    33          60           16
16.000770          26       34       41       30       33       39     44      50    33          60           16
16.175010          26       34       41       30       33       39     44      50    33          60           16
16.351148          26       34       41       30       33       39     45      50    33          60           16
16.529203          26       34       41       30       33       39     45      50    33          60           16
16.709198          26       34       41       30       33       39     45      50    33          60           16
16.891152          26       34       41       30       33       39     45      50    34          60           16
17.075088          26       34       41       30       33       39     45      51    34          60           16
17.261026          27       34       41       31       33       39     45      51    34          60           17
17.448990          28       35       41       31       33       39     45      51    34          60           18
17.639000          28       35       41       31       33       39     45      51    34          60           18
17.831080          28       35       41       31       33       39     45      51    34          60           18
18.025251          28       35       41       31       33       39     45      51    34          60           18
18.221537          28       35       41       31       33       39     45      51    34          60           18
18.419960          28       35       41       31       33       39     46      51    34          60           18
18.620543          28       35       41       31       33       39     46      51    34          60           18
18.823311          28       35       41       31       33       40     46      51    34          60           18
19.028287          28       35       41       31       33       40     46      51    34          60           18
19.235495          28       35       41       31       33       40     46      51    34          60           18
19.444960          28       35       41       31       33       41     46      51    34          60           18
19.656705          28       35       41       31       33       41     46      51    34          60           18
19.870756          28       35       41       31       33       41     46      51    34          60           18
20.087139          28       35       41       31       33       41     46      51    34          60           18
20.305877          28       36       41       31       33       42     47      51    34          60           19
20.526997          29       36       41       31       34       42     47      51    34          60           20
20.750526          29       36       41       31       34       42     47      51    34          60           20
20.976488          29       36       41       31       34       42     47      51    34          60           20
21.204911          29       36       41       31       34       42     47      51    34          60           20
21.435821          29       36       41       31       34       42     47      51    34          60           20
21.669246          29       36       41       31       34       42     47      51    35          60           20
21.905213          29       36       41       31       34       42     47      51    35          60           20
22.143749          29       36       41       31       34       42     47      51    35          60           20
22.384883          29       36       41       31       34       42     47      51    35          60           20
22.628643          29       36       41       31       34       42     47      51    35          60           20
22.875057          29       36       41       31       34       42     47      51    35          60           20
23.124154          29       36       41       31       34       42     47      51    35          60           20
23.375964          29       36       41       31       34       42     47      51    35          60           20
23.630516          29       36       42       31       34       42     47      51    35          60           20
23.887840          29       36       42       31       34       42     47      51    35          60           20
24.147966          29       36       42       31       35       42     47      51    35          60           20
24.410925          29       36       42       31       35       42     47      51    35          60           20
24.676747          29       36       42       31       35       42     47      51    35          60           20
24.945464          29       36       42       31       35       42     47      51    35          60           20
25.217107          29       36       42       31       35       42     47      51    35          60           20
25.491708          29       36       42       31       35       42     47      51    35          60           20
