Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
              SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000            3        0        5        4        4        1      3      20     0          40            0
1.010889           10        7       12        7        9        7      4      21     1          40            0
1.021898           10        7       12        7        9        7      4      21     1          40            0
1.033025           10        7       12        7        9        7     10      26     7          40            6
1.044275           10        7       12        7        9        7     11      27     8          40            7
1.055646           10        7       12        7        9        7     11      27     8          40            7
1.067142           10        7       12        7        9        7     11      27     8          40            7
1.078762           10        7       12        7        9        7     11      27     8          40            7
1.090509           10        7       12        7        9        7     11      27     8          40            7
1.102384           10        7       12        7        9        7     11      27     8          40            7
1.114389           10        7       12        7        9        7     11      27     8          40            7
1.126524           10        7       12        7        9        7     11      28     8          40            7
1.138791           10        7       12        7        9        7     11      28     8          40            7
1.151192           10        7       12        7        9        7     11      28     8          40            7
1.163728           10        7       12        7        9        7     11      28     8          40            7
1.176400           10        7       12        7        9        7     12      28     8          40            7
1.189211           10        7       12        7        9        7     12      28     8          40            7
1.202161           10        7       12        7        9        8     12      28     8          40            7
1.215251           11        8       13        8       10        9     12      28     8          40            7
1.228485           11        8       13        8       10        9     12      28     8          40            7
1.241862           11        8       13        8       10        9     13      28     9          40            8
1.255386           11        8       14        8       10        9     13      28     9          40            8
1.269056           12        8       14        8       10        9     13      28     9          40            8
1.282876           12        8       14        8       10        9     13      28     9          40            8
1.296845           12        8       14        8       10        9     13      28    10          40            8
1.310967           12        8       14        8       10        9     13      28    10          40            8
1.325243           12        8       14        8       10        9     13      28    10          40            8
1.339674           12        8       14        8       10        9     13      28    10          40            8
1.354263           12        8       14        8       10        9     13      28    10          40            8
1.369010           12        8       14        8       10        9     13      28    10          40            8
1.383918           12        8       14        8       10        9     14      28    10          40            8
1.398988           12        8       15        8       10        9     14      28    10          40            8
1.414222           12        8       15        8       10        9     14      28    10          40            8
1.429622           12        8       15        8       10        9     14      28    10          40            8
1.445190           12        8       15        8       10        9     14      28    10          40            8
1.460927           12        8       15        8       10        9     14      28    10          40            8
1.476836           12        8       15        8       10        9     14      28    10          40            8
1.492918           12        8       16        8       10        9     14      28    10          40            8
1.509175           12        8       16        8       10        9     14      28    10          40            8
1.525609           12        8       16        8       10        9     14      28    10          40            8
1.542222           12        8       16        8       10        9     14      29    10          40            8
1.559016           12        8       16        8       10        9     14      29    10          40            8
1.575993           12        9       16        8       10        9     15      29    10          40            8
1.593155           12        9       16        8       10        9     16      29    10          40            8
1.610504           12        9       16        8       10        9     16      29    10          40            8
1.628041           12        9       16        8       10        9     16      29    10          40            8
1.645770           12       10       16        8       10        9     16      29    11          40            8
1.663691           12       10       16        8       10        9     16      29    11          40            8
1.681808           12       10       16        9       10        9     16      29    11          40            8
1.700122           12       10       16        9       10        9     16      29    11          40            8
1.718635           12       10       16        9       10        9     16      29    11          40            8
1.737350           12       10       16       10       10        9     16      29    11          40            8
1.756269           12       10       16       10       10        9     16      29    11          40            8
1.775394           12       10       16       10       10        9     16      29    11          40            8
1.794727           12       10       16       10       10        9     16      29    11          40            8
1.814271           12       10       16       11       10        9     16      29    12          40            8
1.834027           12       10       16       12       10        9     16      29    12          40            8
1.853999           12       10       16       12       10        9     16      29    13          40            8
1.874188           12       10       16       12       10        9     16      29    13          40            8
1.894597           12       10       16       12       10        9     16      29    13          40            8
1.915228           12       10       16       12       10        9     16      29    13          40            8
1.936084           12       11       16       12       10        9     16      30    13          40            8
1.957167           12       11       16       12       10        9     16      30    13          40            8
1.978479           12       11       16       12       10        9     16      30    13          40            8
2.000024           12       11       16       12       10        9     16      30    13          40            8
2.021803           12       11       16       12       10       10     16      30    13          40            8
2.043820           12       11       16       12       10       10     16      30    13          40            8
2.066076           12       11       16       12       10       10     16      31    13          40            8
2.088574           12       11       16       12       10       10     17      31    14          40            8
2.111318           12       11       16       13       10       10     17      31    14          40            8
2.134309           12       11       16       13       10       10     17      31    14          40            8
2.157550           12       11       16       13       10       10     17      31    14          40            8
2.181045           12       11       16       13       10       10     18      32    14          40            8
2.204795           12       11       16       13       10       10     18      32    14          40            8
2.228805           12       11       16       13       10       10     18      32    14          40            8
2.253075           12       11       16       13       11       10     18      32    14          40            8
2.277610           12       11       16       13       11       10     18      32    14          40            8
2.302412           12       11       16       13       11       10     18      32    14          40            8
2.327484           12       11       16       13       11       10     18      32    14          40            8
2.352829           12       11       16       13       11       10     18      32    14          40            8
2.378450           12       11       16       13       11       10     18      32    14          40            8
2.404350           12       11       16       13       11       10     18      32    14          40            8
2.430532           12       11       16       13       11       10     18      32    14          40            8
2.456999           12       11       16       13       11       10     18      32    14          40            8
2.483755           12       11       16       13       11       10     18      32    14          40            8
2.510802           12       11       16       13       11       10     18      32    14          40            8
2.538143           12       11       16       13       11       10     18      32    14          40            8
2.565782           12       11       17       13       12       10     18      32    14          40            8
2.593722           12       11       17       13       12       10     18      32    14          40            8
2.621966           12       11       17       13       12       10     19      32    14          40            8
2.650518           12       11       17       13       12       10     19      32    14          40            8
2.679381           12       11       17       13       12       10     19      32    14          40            8
2.708558           12       12       17       13       12       10     19      32    14          40            8
2.738053           12       12       17       13       12       10     20      33    15          40            8
2.767869           12       12       17       13       12       10     21      33    15          40            8
2.798009           12       12       17       13       13       10     21      33    15          40            8
2.828478           12       12       17       13       13       10     21      33    15          40            8
2.859279           12       12       17       13       13       10     21      33    15          40            8
2.890415           12       12       17       13       13       10     21      33    15          40            8
2.921890           12       12       17       13       13       10     21      33    15          40            8
2.953708           12       12       17       13       13       10     22      33    15          40            8
2.985872           12       12       17       13       13       10     22      33    15          40            8
3.018387           12       12       18       13       13       10     22      33    15          40            8
3.051255           12       12       18       13       13       10     22      33    15          40            8
3.084482           12       12       18       13       13       10     22      33    15          40            8
