Relative performance profile for SolverTime
Filter: gap <= 0.102% and not failed
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000           4        1        7        0        3        1      4      33     0          53            0
1.008738           4        1        7        0        3        1      4      33     1          53            0
1.017552           4        1        7        0        3        1      5      33     1          53            0
1.026443           4        1        7        0        3        1      5      33     1          53            0
1.035411           4        1        7        0        3        1      5      33     1          53            0
1.044458           4        1        7        0        3        1      5      33     1          53            0
1.053585           4        1        7        0        3        1      5      33     1          53            0
1.062790           4        1        7        0        3        1      5      33     1          53            0
1.072077           4        1        7        0        3        1      5      33     1          53            0
1.081444           4        1        7        0        3        1      5      33     1          53            0
1.090893           4        1        7        0        3        1      5      33     1          53            0
1.100425           4        1        7        0        3        1      5      33     1          53            0
1.110040           4        1        7        0        3        1      5      33     1          53            0
1.119740           4        1        7        0        3        1      6      34     1          53            0
1.129524           4        1        7        0        3        1      6      34     1          53            0
1.139393           4        1        7        0        3        1      6      34     1          53            0
1.149349           4        1        8        0        3        1      6      34     1          53            0
1.159391           4        1        8        0        3        1      6      34     1          53            0
1.169521           4        1        8        0        3        1      7      34     1          53            0
1.179740           4        1        8        0        3        1      7      34     2          53            0
1.190049           4        1        8        0        3        1      7      34     2          53            0
1.200447           4        1        8        0        3        2      7      34     2          53            0
1.210936           4        1        8        0        3        2      7      34     2          53            0
1.221517           4        1        8        0        3        2      7      34     2          53            0
1.232190           4        1        8        0        3        2      7      34     2          53            0
1.242956           4        1        8        0        3        2      7      34     2          53            0
1.253817           4        1        9        0        3        2      7      34     2          53            0
1.264772           4        1        9        0        3        2      7      34     2          53            0
1.275823           5        1       10        0        3        2      7      34     2          53            0
1.286971           5        1       10        0        3        2      7      34     3          53            0
1.298216           5        1       10        0        3        2      7      34     3          53            0
1.309560           5        1       10        0        3        2      7      34     3          53            0
1.321002           5        1       10        0        3        2      7      34     3          53            0
1.332544           5        1       10        0        3        2      7      34     3          53            0
1.344188           5        1       10        0        3        2      8      34     3          53            0
1.355933           5        1       10        0        3        2      8      34     3          53            0
1.367781           5        1       10        0        3        2      8      34     3          53            0
1.379732           5        1       10        0        3        2      9      34     3          53            0
1.391787           5        1       10        0        3        2      9      34     3          53            0
1.403948           5        1       11        0        3        2      9      34     3          53            0
1.416216           5        1       11        0        3        2      9      34     3          53            0
1.428590           5        1       11        0        3        2      9      34     3          53            0
1.441072           5        1       11        0        3        2     10      34     3          53            0
