Relative performance profile for SolverTime
Filter: gap <= 10% and not failed
              SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000            4        1        7        0        3        1      4      33     0          53            0
1.010889            4        1        7        0        3        1      5      33     1          53            0
1.021898            4        1        7        0        3        1      6      33     1          53            0
1.033025            4        1        7        0        3        1      6      33     1          53            0
1.044275            4        1        7        0        3        1      6      33     1          53            0
1.055646            4        1        7        0        3        1      6      33     1          53            0
1.067142            4        1        7        0        3        1      6      33     1          53            0
1.078762            4        1        7        0        3        1      6      33     1          53            0
1.090509            4        1        7        0        3        1      6      33     1          53            0
1.102384            4        1        7        0        3        1      6      33     1          53            0
1.114389            4        1        7        0        3        1      7      33     1          53            0
1.126524            4        1        7        0        3        1      7      34     1          53            0
1.138791            4        1        7        0        3        1      7      34     1          53            0
1.151192            4        1        8        0        3        1      7      34     1          53            0
1.163728            4        1        8        0        3        1      7      34     1          53            0
1.176400            4        1        8        0        3        1      8      34     1          53            0
1.189211            4        1        8        0        3        1      8      34     2          53            0
1.202161            4        1        8        0        3        2      8      34     2          53            0
1.215251            4        2        9        1        4        3      8      34     2          53            0
1.228485            4        2        9        1        4        3      8      34     2          53            0
1.241862            4        2        9        1        4        3      9      34     3          53            0
1.255386            4        2       10        1        4        3      9      34     3          53            0
1.269056            5        2       11        1        4        3      9      34     3          53            0
1.282876            5        2       11        1        4        3      9      34     3          53            0
1.296845            5        2       11        1        4        3      9      34     4          53            0
1.310967            5        2       11        1        4        3      9      34     4          53            0
1.325243            5        2       11        1        4        3      9      34     4          53            0
1.339674            5        2       11        1        4        3     10      34     4          53            0
1.354263            5        2       11        1        4        3     10      34     4          53            0
1.369010            5        2       11        1        4        3     10      34     4          53            0
1.383918            5        2       11        1        4        3     11      34     4          53            0
1.398988            5        2       12        1        4        3     11      34     4          53            0
1.414222            5        2       12        1        4        3     11      34     4          53            0
1.429622            5        2       12        1        4        3     11      34     4          53            0
1.445190            5        2       13        1        4        3     12      34     4          53            0
1.460927            5        2       13        1        4        3     12      34     4          53            0
1.476836            5        2       13        1        4        3     12      34     4          53            0
1.492918            5        2       14        1        5        3     12      34     4          53            0
1.509175            5        2       14        1        5        3     12      34     4          53            0
1.525609            5        2       14        1        5        3     12      34     4          53            0
1.542222            5        2       14        1        5        3     12      35     4          53            0
1.559016            5        2       14        1        5        3     12      35     4          53            0
1.575993            5        3       14        1        5        3     13      35     4          53            0
1.593155            5        3       14        1        5        3     14      35     4          53            0
1.610504            5        3       14        1        5        3     14      35     4          53            0
1.628041            5        3       14        1        5        4     14      35     4          53            0
1.645770            5        5       14        1        5        4     14      35     6          53            0
1.663691            5        5       14        1        5        4     14      35     6          53            0
1.681808            5        5       14        2        5        4     14      35     6          53            0
1.700122            5        5       14        2        5        4     14      35     6          53            0
1.718635            5        5       14        2        6        4     14      35     6          53            0
1.737350            5        5       14        3        6        4     14      35     6          53            0
1.756269            5        5       14        3        6        4     14      35     6          53            0
1.775394            5        5       14        3        6        4     14      35     6          53            0
1.794727            5        5       14        3        6        4     14      35     6          53            0
1.814271            5        5       14        4        6        4     14      35     7          53            0
1.834027            5        5       14        5        6        4     15      35     7          53            0
1.853999            5        5       14        5        6        4     15      35     8          53            0
1.874188            5        5       14        5        6        4     15      35     8          53            0
1.894597            5        5       15        5        6        4     15      35     8          53            0
1.915228            5        5       15        5        6        4     15      36     8          53            0
1.936084            5        6       15        5        6        4     15      37     9          53            0
1.957167            5        6       15        5        6        4     16      37     9          53            0
1.978479            5        6       15        5        6        4     16      37     9          53            0
2.000024            5        6       15        5        6        4     16      37     9          53            0
2.021803            5        6       15        5        6        5     16      37     9          53            0
2.043820            5        6       15        5        6        5     16      37     9          53            0
2.066076            5        6       15        6        6        5     16      38     9          53            0
2.088574            5        6       15        6        6        5     17      38    10          53            0
2.111318            5        7       15        7        6        5     17      38    10          53            0
2.134309            6        7       15        7        6        5     17      38    10          53            0
2.157550            6        7       15        7        6        5     17      38    10          53            0
2.181045            6        7       15        7        6        5     18      39    10          53            0
2.204795            6        7       15        7        6        5     18      39    10          53            0
2.228805            6        7       15        7        6        5     18      39    10          53            0
2.253075            6        7       15        7        7        5     18      39    10          53            0
2.277610            6        7       15        7        7        5     18      39    10          53            0
2.302412            6        7       15        7        7        5     18      39    10          53            0
2.327484            6        7       15        7        7        5     18      39    10          53            0
2.352829            6        7       15        7        7        5     18      39    10          53            0
2.378450            6        7       15        7        7        5     18      39    10          53            0
2.404350            6        7       15        8        7        5     18      39    10          53            0
2.430532            6        7       15        8        7        5     18      39    10          53            0
2.456999            6        7       15        8        7        6     18      39    10          53            0
2.483755            6        7       15        8        7        6     18      39    10          53            0
2.510802            6        7       15        8        7        6     18      39    10          53            0
2.538143            6        7       15        8        7        6     18      39    10          53            0
2.565782            6        7       16        8        8        6     18      39    10          53            0
2.593722            6        7       16        8        8        6     18      39    10          53            0
2.621966            6        7       17        8        8        6     19      39    11          53            0
2.650518            7        7       17        8        8        6     19      39    11          53            0
2.679381            7        7       17        8        8        6     19      39    11          53            0
2.708558            7        8       17        8        8        6     19      39    11          53            0
2.738053            7        8       17        8        8        6     20      40    12          53            0
2.767869            7        8       17        8        8        6     21      40    12          53            0
2.798009            7        8       17        8        9        6     21      40    12          53            0
2.828478            7        8       17        8        9        6     22      40    12          53            0
2.859279            7        8       17        8        9        6     23      40    12          53            0
2.890415            7        8       17        8        9        6     23      40    12          53            0
2.921890            7        8       17        8        9        6     23      40    12          53            0
2.953708            7        9       17        8        9        6     24      40    12          53            1
2.985872            7        9       17        8        9        6     24      40    12          53            1
3.018387            7        9       18        8        9        6     24      40    12          53            1
3.051255            7       10       18        8        9        6     24      40    12          53            1
3.084482            7       10       18        8        9        6     24      40    12          53            1
3.118070            8       11       18        8        9        6     24      41    12          53            1
3.152025            8       11       18        8        9        6     25      41    14          53            1
3.186348            8       11       18        8       10        6     25      41    14          53            1
3.221046            8       11       18        8       10        6     25      41    14          53            1
3.256122            8       11       18        8       10        6     25      41    14          53            1
3.291579            8       11       18        8       10        7     25      41    14          53            1
3.327423            8       11       18        8       10        8     25      41    14          53            1
3.363657            8       11       18        8       10        8     25      41    15          53            1
3.400285            8       11       18        8       10        8     25      41    15          53            1
3.437312            8       11       19        8       10        8     25      41    16          53            1
3.474743            8       11       19        8       10        8     25      41    17          53            1
3.512581            8       11       19        8       10        8     25      41    17          53            1
3.550831            8       12       20        8       10        9     25      41    17          53            1
3.589498            8       12       20        8       10       10     25      41    17          53            1
3.628586            8       12       20        8       10       11     25      41    17          53            1
3.668099            8       12       20        9       10       12     25      41    17          53            1
3.708043            8       12       20        9       10       12     25      41    17          53            1
3.748421            8       12       20        9       10       12     25      41    17          53            1
3.789240            8       13       20        9       10       12     25      41    17          53            1
3.830502            8       13       20        9       12       13     25      41    17          53            1
3.872215            8       13       20        9       13       13     25      41    17          53            1
3.914381            8       13       20        9       13       13     26      41    17          53            1
3.957007            8       13       20        9       13       13     26      41    17          53            1
4.000096            8       13       20        9       13       13     26      41    17          53            1
4.043655            8       13       20        9       13       13     26      41    17          53            1
4.087689            8       13       20        9       13       13     26      41    17          53            1
4.132201            9       13       20        9       13       13     26      41    17          53            1
4.177199            9       13       20        9       14       14     26      41    17          53            2
4.222686            9       13       21        9       15       14     26      41    17          53            3
4.268669            9       13       21        9       15       14     26      41    17          53            3
4.315153            9       13       21        9       15       14     26      41    17          53            3
4.362142            9       13       21        9       15       14     26      41    17          53            3
4.409644            9       13       21       10       15       16     26      41    17          53            3
4.457663            9       14       21       10       15       16     26      41    17          53            3
4.506204            9       14       21       10       15       16     26      41    17          53            3
4.555274            9       14       21       10       15       16     26      41    17          53            3
4.604879            9       14       21       10       15       17     26      41    17          53            4
4.655024            9       14       21       10       15       17     26      41    17          53            4
4.705715            9       14       21       10       16       18     26      41    17          53            4
4.756957            9       14       21       10       16       18     26      41    17          53            4
4.808758            9       15       21       10       16       18     26      41    17          53            4
4.861123            9       15       21       10       16       18     26      41    17          53            4
4.914058            9       16       22       10       16       18     26      41    17          53            4
4.967570            9       16       22       10       16       19     26      41    17          53            4
5.021664            9       16       22       10       16       19     27      41    17          53            4
5.076347            9       16       22       10       16       19     27      41    17          53            4
5.131626            9       16       22       11       16       19     27      41    17          53            4
5.187507            9       16       22       11       16       20     27      41    17          53            4
5.243996            9       16       22       11       16       20     27      41    17          53            4
5.301100            9       16       22       11       16       20     27      41    17          53            4
5.358826            9       16       22       11       16       20     27      41    17          53            4
5.417181            9       16       23       12       16       20     27      41    17          53            4
5.476171            9       16       23       12       16       20     27      41    17          53            4
5.535804            9       16       23       12       16       20     27      41    17          53            4
5.596086            9       17       23       12       16       20     27      41    17          53            4
5.657024            9       17       24       12       16       20     27      41    17          53            4
5.718627            9       18       25       12       16       20     27      41    17          53            4
5.780899            9       18       25       12       16       20     27      41    17          53            4
5.843850            9       18       25       12       16       20     27      41    17          53            4
5.907487            9       19       25       12       16       20     27      41    17          53            4
5.971816            9       19       25       12       16       20     27      41    17          53            4
6.036846            9       20       25       12       16       20     27      42    17          53            4
6.102584           10       20       25       12       16       20     28      42    17          53            4
6.169038           10       20       25       12       16       20     28      42    17          53            4
6.236216           10       20       25       12       16       20     28      42    18          53            4
6.304125           10       20       25       12       16       20     28      42    18          53            4
6.372774           10       20       25       12       16       20     28      42    18          53            4
6.442170           10       20       25       12       16       21     28      42    18          53            4
6.512322           10       20       25       12       16       21     28      42    18          53            4
6.583237           10       20       25       12       17       21     29      42    18          53            4
6.654925           10       20       25       12       17       21     29      42    18          53            4
6.727394           10       20       26       12       17       21     29      42    18          53            4
6.800652           10       20       26       12       17       21     29      42    18          53            4
6.874707           10       20       26       12       17       21     29      42    18          53            4
6.949569           10       20       26       12       17       21     29      42    18          53            4
7.025246           10       20       26       12       17       21     29      42    18          53            4
7.101748           10       20       26       12       17       21     29      42    18          53            4
7.179082           10       20       26       12       17       21     29      42    18          53            4
7.257258           10       20       27       12       18       21     29      42    18          53            4
7.336286           10       20       27       12       19       21     29      42    18          53            4
7.416175           10       20       27       12       19       21     30      43    18          53            4
7.496933           10       20       27       12       19       21     30      43    19          53            4
7.578570           10       20       27       12       19       21     30      43    19          53            4
7.661097           11       20       28       12       19       21     30      43    19          53            4
7.744522           11       20       29       12       19       22     30      43    20          53            4
7.828856           11       20       29       12       19       22     30      43    20          53            4
7.914108           11       20       29       13       19       22     30      43    20          53            4
8.000289           11       20       29       13       19       23     30      43    20          53            4
8.087408           11       20       29       13       19       23     30      43    20          53            4
8.175475           11       20       29       13       19       23     30      43    20          53            4
8.264502           11       21       29       13       19       23     30      43    20          53            4
8.354498           11       21       29       13       19       23     30      43    20          53            4
8.445474           11       21       29       13       19       23     30      43    20          53            4
8.537441           11       21       29       13       19       23     30      43    20          53            4
8.630409           11       21       29       13       19       23     30      43    20          53            4
8.724390           11       21       29       13       19       24     30      43    20          53            4
8.819394           11       21       29       13       19       24     30      43    21          53            4
8.915433           11       21       29       13       19       24     30      43    21          53            4
9.012517           11       21       29       13       19       24     30      43    21          53            4
9.110659           11       21       29       13       19       24     30      43    21          53            4
9.209869           11       21       29       13       19       24     30      43    21          53            4
9.310160           11       21       29       13       19       25     30      43    21          53            4
9.411542           11       21       30       13       19       25     30      43    21          53            4
9.514029           11       22       30       13       19       26     30      43    21          53            4
9.617632           11       22       30       13       19       26     30      43    21          53            4
9.722363           11       22       30       13       19       26     30      43    21          53            4
9.828234           11       22       30       14       19       26     30      43    21          53            4
9.935259           12       22       30       14       19       26     30      43    21          53            4
10.043448          12       22       30       14       19       26     30      43    21          53            4
10.152816          12       22       30       14       20       26     30      43    21          53            4
10.263375          12       22       30       14       20       26     30      43    21          53            4
10.375138          12       22       30       14       20       26     30      43    21          53            4
10.488118          12       22       30       14       20       26     31      43    21          53            4
10.602328          13       22       30       14       20       26     31      43    21          53            4
10.717782          13       22       30       14       20       27     33      43    21          53            4
10.834493          13       22       30       14       20       27     33      43    21          53            4
10.952475          13       22       30       14       20       27     33      43    21          53            4
11.071741          13       22       30       14       20       27     33      43    21          53            4
11.192307          13       22       31       14       20       27     34      43    21          53            4
11.314185          13       22       31       14       20       27     34      43    21          53            4
11.437391          13       22       31       14       20       27     34      43    21          53            4
11.561938          13       22       31       14       20       27     34      44    22          53            4
11.687841          13       22       31       14       21       27     34      44    22          53            4
11.815116          13       22       31       14       21       27     34      44    22          53            4
11.943776          13       22       31       14       21       27     34      44    22          53            4
12.073838          13       22       31       14       22       27     35      44    22          53            6
12.205315          13       22       31       14       22       27     35      44    22          53            6
12.338225          14       22       31       14       22       27     35      44    22          53            6
12.472582          14       22       31       14       22       27     35      44    22          53            6
12.608402          14       22       31       14       22       27     35      44    22          53            6
12.745700          14       22       31       14       22       27     35      44    22          53            6
12.884495          14       22       31       14       22       27     36      44    22          53            6
13.024800          14       23       31       15       22       27     36      44    22          53            6
13.166633          14       23       31       16       22       28     36      44    22          53            6
13.310011          14       24       31       16       22       28     36      44    22          53            6
13.454950          14       24       31       16       22       28     36      44    22          53            6
13.601467          14       24       31       16       22       28     36      44    22          53            6
13.749580          14       24       31       16       22       28     36      44    22          53            6
13.899306          14       24       31       16       22       28     36      44    22          53            6
14.050662          14       24       31       16       22       29     36      44    22          53            6
14.203666          14       24       31       16       22       29     36      44    22          53            6
14.358337          14       24       31       16       22       29     36      44    22          53            6
14.514692          14       24       31       16       22       29     36      44    22          53            6
14.672749          14       24       31       16       22       29     36      44    22          53            6
14.832528          14       24       31       16       22       29     37      44    22          53            6
14.994046          14       24       31       16       22       29     37      44    22          53            6
15.157323          14       24       31       16       22       29     38      44    22          53            6
15.322379          14       24       31       16       22       29     38      44    22          53            6
15.489231          14       24       31       16       22       29     38      44    23          53            6
15.657901          14       24       31       16       22       29     38      44    23          53            6
15.828407          14       24       31       16       22       29     38      44    23          53            6
16.000770          14       24       31       16       22       29     38      44    23          53            6
16.175010          14       24       31       16       22       29     38      44    23          53            6
16.351148          14       24       31       16       22       29     39      44    23          53            6
16.529203          14       24       31       16       22       29     39      44    23          53            6
16.709198          14       24       31       16       22       29     39      44    23          53            6
16.891152          14       24       31       16       22       29     39      44    24          53            6
17.075088          14       24       31       16       22       29     39      45    24          53            6
17.261026          14       24       31       16       22       29     39      45    24          53            6
17.448990          15       25       31       16       22       29     39      45    24          53            7
17.639000          15       25       31       16       22       29     39      45    24          53            7
17.831080          15       25       31       16       22       29     39      45    24          53            7
18.025251          15       25       31       16       22       29     39      45    24          53            7
18.221537          15       25       31       16       22       29     39      45    24          53            7
18.419960          15       25       31       16       22       29     40      45    24          53            7
18.620543          15       25       31       16       22       29     40      45    24          53            7
18.823311          15       25       31       16       22       30     40      45    24          53            7
19.028287          15       25       31       16       22       30     40      45    24          53            7
19.235495          15       25       31       16       22       30     40      45    24          53            7
19.444960          15       25       31       16       22       30     40      45    24          53            7
19.656705          15       25       31       16       22       30     40      45    24          53            7
19.870756          15       25       31       16       22       30     40      45    24          53            7
20.087139          15       25       31       16       22       30     40      45    24          53            7
20.305877          15       26       31       16       22       31     41      45    24          53            8
20.526997          15       26       31       16       22       31     41      45    24          53            8
20.750526          15       26       31       16       22       31     41      45    24          53            8
20.976488          15       26       31       16       22       31     41      45    24          53            8
21.204911          15       26       31       16       22       31     41      45    24          53            8
21.435821          15       26       31       16       22       31     41      45    24          53            8
21.669246          15       26       31       16       22       31     41      45    25          53            8
21.905213          15       26       31       16       22       31     41      45    25          53            8
22.143749          15       26       31       16       22       31     41      45    25          53            8
22.384883          15       26       31       16       22       31     41      45    25          53            8
22.628643          15       26       31       16       22       31     41      45    25          53            8
22.875057          15       26       31       16       22       31     42      46    25          53            8
23.124154          15       26       31       16       22       31     42      46    26          53            8
23.375964          15       26       31       16       22       31     42      46    26          53            8
23.630516          15       26       32       16       22       31     42      46    26          53            8
23.887840          15       26       32       16       22       31     42      46    26          53            8
24.147966          15       26       32       16       23       31     42      46    26          53            8
24.410925          15       26       32       16       23       31     42      46    26          53            8
24.676747          15       26       32       16       23       31     42      46    26          53            8
24.945464          15       26       32       16       23       31     42      46    26          53            8
25.217107          15       26       32       16       23       31     42      46    26          53            8
25.491708          15       26       32       16       23       31     42      46    26          53            8
25.769299          15       26       32       16       23       31     42      46    26          53            8
26.049913          15       26       32       16       23       31     42      46    27          53            8
26.333583          15       26       32       16       23       31     42      46    27          53            8
26.620342          15       26       33       16       23       31     42      46    27          53            8
26.910224          15       26       33       16       23       31     42      46    27          53            8
27.203262          15       26       33       16       23       31     42      46    27          53            8
27.499491          15       26       33       16       23       31     42      46    27          53            8
27.798946          15       26       33       16       23       31     42      46    27          53            8
28.101662          15       26       33       16       23       31     42      46    27          53            8
28.407675          15       26       33       16       23       31     42      46    27          53            8
28.717019          15       26       33       16       23       31     42      46    28          53            8
29.029733          15       26       33       16       23       31     42      46    28          53            8
29.345851          15       26       34       16       23       31     42      46    28          53            8
