Relative performance profile for SolverTime
Filter: within 0.102% of known optimal value and not failed
              SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000            0        0        1        0        0        0      1      16     0          18            0
1.009940            0        0        1        0        0        0      1      16     0          18            0
1.019980            0        0        1        0        0        0      1      16     0          18            0
1.030119            0        0        1        0        0        0      1      16     0          18            0
1.040359            0        0        1        0        0        0      1      16     0          18            0
1.050700            0        0        1        0        0        0      1      16     0          18            0
1.061145            0        0        1        0        0        0      1      16     0          18            0
1.071693            0        0        1        0        0        0      1      16     0          18            0
1.082346            0        0        1        0        0        0      1      16     0          18            0
1.093105            0        0        1        0        0        0      1      16     0          18            0
1.103971            0        0        1        0        0        0      1      16     0          18            0
1.114945            0        0        1        0        0        0      2      16     0          18            0
1.126029            0        0        1        0        0        0      2      16     0          18            0
1.137222            0        0        1        0        0        0      2      16     0          18            0
1.148526            0        0        1        0        0        0      2      16     0          18            0
1.159943            0        0        1        0        0        0      2      16     0          18            0
1.171474            0        0        1        0        0        0      2      16     0          18            0
1.183119            0        0        1        0        0        0      2      16     1          18            0
1.194879            0        0        1        0        0        1      2      16     1          18            0
1.206757            0        0        1        0        0        1      2      16     1          18            0
1.218753            0        0        1        0        0        1      2      16     1          18            0
1.230868            0        0        1        0        0        1      2      16     1          18            0
1.243103            0        0        1        0        0        1      2      16     1          18            0
1.255460            0        0        1        0        0        1      2      16     1          18            0
1.267940            0        0        1        0        0        1      2      16     1          18            0
1.280544            0        0        1        0        0        1      2      16     1          18            0
1.293273            0        0        1        0        0        1      2      16     2          18            0
1.306129            0        0        1        0        0        1      2      16     2          18            0
1.319113            0        0        1        0        0        1      2      16     2          18            0
1.332225            0        0        1        0        0        1      2      16     2          18            0
1.345468            0        0        1        0        0        1      3      16     2          18            0
1.358843            0        0        1        0        0        1      3      16     2          18            0
1.372350            0        0        1        0        0        1      3      16     2          18            0
1.385992            0        0        1        0        0        1      3      16     2          18            0
1.399770            0        0        1        0        0        1      3      16     2          18            0
1.413684            0        0        1        0        0        1      3      16     2          18            0
1.427737            0        0        1        0        0        1      3      16     2          18            0
1.441929            0        0        1        0        0        1      3      16     2          18            0
1.456263            0        0        1        0        0        1      3      16     2          18            0
1.470739            0        0        1        0        0        1      3      16     2          18            0
1.485358            0        0        1        0        1        1      3      16     2          18            0
1.500124            0        0        1        0        1        1      3      16     2          18            0
1.515036            0        0        1        0        1        1      3      16     2          18            0
1.530096            0        0        1        0        1        1      3      16     2          18            0
1.545306            0        0        1        0        1        1      3      16     2          18            0
1.560667            0        0        1        0        1        1      3      16     2          18            0
1.576181            0        0        1        0        1        1      3      16     2          18            0
1.591849            0        0        1        0        1        1      3      16     2          18            0
1.607672            0        0        1        0        1        1      3      16     2          18            0
1.623653            0        0        1        0        1        1      3      16     2          18            0
1.639793            0        0        1        0        1        1      3      16     2          18            0
1.656094            0        0        1        0        1        1      3      16     3          18            0
1.672556            0        0        1        0        1        1      3      16     3          18            0
1.689182            0        0        1        0        1        1      3      16     3          18            0
1.705973            0        0        1        0        1        1      3      16     3          18            0
1.722932            0        0        1        0        1        1      3      16     3          18            0
1.740058            0        0        1        0        1        1      3      16     3          18            0
1.757355            0        0        1        0        1        1      3      16     3          18            0
1.774824            0        0        1        0        1        1      3      16     3          18            0
1.792467            0        0        1        0        1        1      3      16     3          18            0
1.810285            0        0        1        0        1        1      3      16     3          18            0
1.828280            0        0        1        0        1        1      4      16     3          18            0
1.846454            0        0        1        0        1        1      4      16     3          18            0
1.864809            0        0        1        0        1        1      4      16     4          18            0
1.883346            0        0        1        0        1        1      4      16     4          18            0
1.902067            0        0        2        0        1        1      4      16     4          18            0
1.920975            0        0        2        0        1        1      4      16     4          18            0
1.940070            0        1        2        0        1        1      4      16     4          18            0
1.959355            0        1        2        0        1        1      4      16     4          18            0
1.978832            0        1        2        0        1        1      4      16     4          18            0
1.998503            0        1        2        0        1        1      4      16     4          18            0
2.018369            0        1        2        0        1        1      4      16     4          18            0
2.038432            0        1        2        0        1        1      4      16     4          18            0
2.058695            0        1        2        1        1        1      4      16     4          18            0
2.079160            0        1        2        1        1        1      4      16     4          18            0
2.099828            0        1        2        1        1        1      4      16     4          18            0
2.120701            1        1        2        2        1        1      4      16     4          18            0
2.141782            1        1        2        2        1        1      4      16     4          18            0
2.163072            1        1        2        2        1        1      4      16     4          18            0
2.184574            1        1        2        2        1        1      4      17     4          18            0
2.206290            1        1        2        2        1        1      4      17     4          18            0
2.228221            1        1        2        2        1        1      4      17     4          18            0
2.250371            1        1        2        2        2        1      4      17     4          18            0
2.272741            1        1        2        2        2        1      4      17     4          18            0
2.295333            1        1        2        2        2        1      4      17     4          18            0
2.318150            1        1        2        2        2        1      4      17     4          18            0
2.341193            1        1        2        2        2        1      4      17     4          18            0
2.364466            1        1        2        2        2        1      4      17     4          18            0
2.387970            1        1        2        2        2        1      4      17     4          18            0
2.411707            1        1        2        3        2        1      4      17     4          18            0
2.435681            1        1        2        3        2        2      4      17     4          18            0
2.459893            1        1        2        3        2        2      4      17     4          18            0
2.484345            1        1        2        3        2        2      4      17     4          18            0
2.509041            1        1        2        3        2        2      4      17     4          18            0
2.533982            1        1        2        3        2        2      4      17     4          18            0
2.559171            1        1        2        3        2        2      4      17     4          18            0
2.584610            1        1        2        3        2        2      4      17     4          18            0
2.610303            1        2        3        3        2        2      5      17     4          18            0
2.636250            2        2        3        3        2        2      5      17     5          18            0
2.662456            2        2        3        3        2        2      5      17     5          18            0
2.688922            2        2        3        3        2        2      5      17     5          18            0
2.715651            2        2        3        3        2        2      5      17     5          18            0
2.742646            2        2        3        3        2        2      5      17     5          18            0
2.769909            2        2        3        3        2        2      5      17     5          18            0
2.797444            2        2        4        3        2        2      5      17     5          18            0
2.825252            2        2        4        3        2        2      6      17     5          18            0
2.853336            2        2        4        3        2        2      6      17     5          18            0
2.881699            2        2        4        3        2        2      7      17     5          18            0
2.910345            2        2        4        3        2        2      7      17     5          18            0
2.939275            2        3        4        3        2        2      7      17     5          18            1
2.968493            2        3        4        3        2        2      8      17     5          18            1
2.998001            2        3        4        3        2        2      8      17     5          18            1
3.027803            2        3        4        3        2        2      8      17     5          18            1
3.057901            2        3        4        3        2        2      8      17     5          18            1
3.088298            2        3        4        3        2        2      8      17     5          18            1
3.118997            3        4        4        3        2        2      8      17     5          18            1
3.150001            3        4        4        3        2        2      8      17     6          18            1
3.181314            3        4        4        3        2        2      8      17     6          18            1
3.212938            3        4        4        3        2        2      8      17     6          18            1
3.244876            3        4        4        3        2        2      8      17     6          18            1
3.277131            3        4        4        3        2        2      8      17     6          18            1
3.309708            3        4        4        3        2        2      8      17     6          18            1
3.342608            3        4        4        3        2        3      8      17     6          18            1
3.375835            3        4        4        3        2        3      8      17     6          18            1
3.409392            3        4        4        3        2        3      8      17     6          18            1
3.443283            3        4        4        3        2        3      8      17     6          18            1
3.477511            3        4        4        3        2        3      8      17     7          18            1
3.512079            3        4        4        3        2        3      8      17     7          18            1
3.546991            3        4        4        3        2        3      8      17     7          18            1
3.582250            3        4        4        3        2        3      8      17     7          18            1
3.617859            3        4        4        3        2        3      8      17     7          18            1
3.653823            3        4        4        3        2        3      8      17     7          18            1
3.690143            3        4        4        3        2        3      8      17     7          18            1
3.726825            3        4        4        3        2        3      8      17     7          18            1
3.763872            3        4        4        3        2        3      8      17     7          18            1
3.801286            3        4        4        3        2        3      8      17     7          18            1
3.839073            3        4        4        3        3        3      8      17     7          18            1
3.877235            3        4        4        3        3        3      9      17     7          18            1
3.915777            3        4        4        3        3        3      9      17     7          18            1
3.954702            3        4        4        3        3        3      9      17     7          18            1
3.994013            3        4        4        3        3        3      9      17     7          18            1
4.033716            3        4        4        3        3        3      9      17     7          18            1
4.073813            3        4        4        3        3        3      9      17     7          18            1
4.114308            4        4        4        3        3        3      9      17     7          18            1
4.155207            4        4        4        3        4        3      9      17     7          18            2
4.196511            4        4        4        3        4        4      9      17     7          18            2
4.238227            4        4        4        3        4        4      9      17     7          18            2
4.280357            4        4        4        3        4        4      9      17     7          18            2
