Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
               SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
1.000000            15       20       27       21       24       28     19     1          35            0
1.027279            15       20       27       21       24       28     19     1          35            0
1.055303            15       20       27       21       24       28     19     1          35            0
1.084091            15       20       27       21       24       28     19     1          35            0
1.113664            15       20       27       21       24       28     19     1          35            0
1.144044            15       20       27       21       24       28     19     1          35            0
1.175253            15       20       27       21       24       28     19     1          35            0
1.207313            15       20       27       21       24       28     19     1          35            0
1.240247            15       20       27       21       24       28     19     1          35            0
1.274081            15       20       27       21       24       28     19     1          35            0
1.308837            15       20       27       21       24       28     19     1          35            0
1.344541            15       20       27       21       24       28     19     1          35            0
1.381219            15       20       27       21       24       28     19     1          35            0
1.418898            15       20       27       21       24       28     19     1          35            0
1.457604            15       20       27       21       24       28     19     1          35            0
1.497367            15       20       27       21       24       28     19     1          35            0
1.538214            15       20       27       21       24       28     19     1          35            0
1.580175            15       20       27       21       24       28     19     1          35            0
1.623281            15       20       27       21       24       28     19     1          35            0
1.667563            15       20       27       21       24       28     19     1          35            0
1.713053            15       20       27       21       24       28     19     1          35            0
1.759784            15       20       27       21       24       28     19     1          35            0
1.807790            15       20       27       21       24       28     19     1          35            0
1.857105            15       20       27       21       24       28     19     1          35            0
1.907766            15       20       27       21       24       28     19     1          35            0
1.959808            15       20       27       21       24       28     19     1          35            0
2.013270            15       20       27       21       24       28     19     2          35            0
2.068191            15       20       27       21       24       28     19     2          35            0
2.124610            15       20       27       21       24       28     19     2          35            0
2.182568            15       20       27       21       24       28     19     2          35            0
2.242107            15       20       27       21       24       28     19     2          35            0
2.303270            15       20       27       21       24       28     19     2          35            0
2.366102            15       20       27       21       24       28     19     2          35            0
2.430647            15       20       27       21       24       28     19     2          35            0
2.496954            15       20       27       21       24       28     19     2          35            0
2.565069            15       20       27       21       24       28     19     2          35            0
2.635042            15       20       27       21       24       28     19     2          35            0
2.706924            15       20       27       21       24       28     19     2          35            0
2.780767            15       20       27       21       24       28     19     2          35            0
2.856625            15       20       27       21       24       28     19     2          35            0
2.934551            15       20       27       21       24       28     19     2          35            0
3.014604            15       20       27       21       24       28     20     3          35            1
3.096840            15       20       27       21       24       28     20     3          35            1
3.181320            15       20       27       21       24       28     20     3          35            1
3.268104            15       20       27       21       24       28     20     3          35            1
3.357256            15       20       27       21       24       28     20     3          35            1
3.448839            15       20       27       21       24       28     20     3          35            1
3.542921            15       20       27       21       24       28     20     3          35            1
3.639570            15       20       27       21       24       28     20     3          35            1
3.738855            15       20       27       21       24       28     20     3          35            1
3.840848            15       20       27       21       24       28     20     3          35            1
3.945624            15       20       27       21       24       28     20     3          35            1
4.053258            15       20       27       21       24       28     20     3          35            1
4.163828            15       20       27       21       24       28     20     3          35            1
4.277414            15       20       27       21       24       28     20     3          35            1
4.394099            15       20       27       21       24       28     20     3          35            1
4.513967            15       20       27       21       24       28     20     3          35            1
4.637105            15       20       27       21       24       28     20     3          35            1
4.763602            15       20       27       21       24       28     20     3          35            1
4.893550            15       20       27       21       24       28     20     3          35            1
5.027043            15       20       27       21       24       28     20     3          35            1
5.164177            15       20       27       21       24       28     20     3          35            1
5.305052            15       20       27       21       24       28     20     3          35            1
5.449770            15       20       27       21       24       28     20     3          35            1
5.598436            15       20       27       21       24       28     20     3          35            1
5.751158            15       20       27       21       24       28     20     3          35            1
5.908046            15       20       27       21       24       28     20     3          35            1
6.069213            15       20       27       21       24       28     20     3          35            1
6.234777            15       20       27       21       24       28     20     3          35            1
6.404858            15       20       27       21       24       28     20     3          35            1
6.579578            15       20       27       21       24       28     20     3          35            1
6.759064            15       20       27       21       24       28     20     3          35            1
6.943447            15       20       27       21       24       28     20     3          35            1
7.132859            15       20       27       21       24       28     20     3          35            1
7.327439            15       20       27       21       24       28     20     3          35            1
7.527326            15       20       27       21       24       28     20     3          35            1
7.732666            15       20       27       21       24       28     20     3          35            1
7.943608            15       20       27       21       24       28     20     3          35            1
8.160304            15       20       27       21       24       28     20     3          35            1
8.382912            15       20       27       21       24       28     20     3          35            1
8.611592            15       20       27       21       24       28     20     3          35            1
8.846510            15       20       27       21       24       28     20     3          35            1
