Relative performance profile for NumberOfNodes
Filter: gap <= 0.102% and not failed
               SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000            14       13       21        8       11       13     25      13     7          53            0
1.012834            14       13       21        8       11       13     25      13     7          53            0
1.025833            14       13       21        8       11       13     25      13     7          53            0
1.038998            14       13       21        8       11       13     25      13     7          53            0
1.052333            14       13       21        8       11       13     25      13     7          53            0
1.065839            14       13       21        8       11       13     25      13     7          53            0
1.079518            14       13       21        8       11       13     25      13     7          53            0
1.093372            14       13       21        8       11       13     25      14     7          53            0
1.107404            14       13       21        8       11       13     25      14     7          53            0
1.121617            14       13       21        8       11       13     25      14     7          53            0
1.136012            14       13       21        8       11       13     25      14     7          53            0
1.150591            14       13       21        8       11       13     25      14     7          53            0
1.165358            14       13       21        8       11       13     25      14     7          53            0
1.180314            14       13       21        8       11       13     25      14     7          53            0
1.195462            14       13       21        8       11       13     25      14     7          53            0
1.210805            14       13       22        8       11       13     25      14     7          53            0
1.226345            14       13       22        8       11       13     25      14     7          53            0
1.242083            14       13       22        8       11       13     25      14     7          53            0
1.258024            14       13       22        8       11       13     25      14     7          53            0
1.274170            14       13       22        8       11       13     25      14     7          53            0
1.290523            14       13       22        8       11       13     25      14     7          53            0
1.307085            14       13       22        8       11       13     25      14     7          53            0
1.323860            14       13       22        8       11       13     25      14     7          53            0
1.340851            14       13       22        8       11       13     25      14     7          53            0
1.358059            14       13       22        8       11       13     25      14     7          53            0
1.375489            14       13       22        8       11       13     25      14     7          53            0
1.393142            14       13       22        8       11       13     25      14     7          53            0
1.411021            14       13       22        8       11       13     25      14     7          53            0
1.429130            14       13       22        8       11       13     25      14     7          53            0
1.447472            14       13       22        8       11       13     25      14     7          53            0
1.466049            14       13       22        8       11       13     25      14     7          53            0
1.484864            14       13       22        8       11       13     25      14     7          53            0
1.503921            14       13       22        8       11       13     25      14     7          53            0
1.523222            14       13       22        8       11       13     25      14     7          53            0
1.542771            14       13       22        8       11       13     25      14     7          53            0
1.562571            14       13       22        8       11       13     25      14     7          53            0
1.582625            14       13       22        8       11       13     25      14     7          53            0
1.602937            14       13       22        8       11       13     25      14     7          53            0
1.623509            14       14       22        8       11       13     25      14     7          53            0
1.644345            14       14       22        8       11       13     25      14     7          53            0
1.665449            14       14       22        8       11       13     25      14     7          53            0
1.686823            14       14       22        8       11       13     25      15     7          53            0
1.708472            14       14       23        8       11       13     25      15     7          53            0
1.730398            14       14       23        8       11       13     25      15     7          53            0
1.752606            14       14       23        8       11       13     25      15     7          53            0
1.775099            14       14       23        8       11       13     25      15     7          53            0
1.797881            14       14       23        8       11       13     25      15     7          53            0
1.820955            14       14       23        8       11       13     25      15     7          53            0
1.844325            14       14       23        8       11       13     25      15     7          53            0
1.867995            14       14       23        8       11       13     25      15     7          53            0
1.891969            14       14       23        8       11       13     25      15     7          53            0
1.916251            14       14       23        8       11       13     25      15     7          53            0
1.940844            14       14       23        8       11       13     25      15     7          53            0
1.965753            14       14       23        8       11       13     26      16     8          53            0
1.990981            14       14       23        8       11       13     26      16     8          53            0
2.016534            14       15       23        8       11       14     26      19     8          53            1
2.042414            14       15       23        8       11       14     26      19     8          53            1
2.068626            14       15       23        8       11       14     26      19     8          53            1
2.095175            14       15       23        8       11       14     26      19     8          53            1
2.122065            14       15       23        8       11       14     26      19     8          53            1
2.149299            14       15       23        8       11       14     26      19     8          53            1
2.176883            14       15       23        8       11       14     26      19     8          53            1
2.204821            14       15       23        8       12       15     26      19     8          53            1
2.233118            14       15       23        8       12       15     26      19     8          53            1
2.261778            14       15       23        8       12       15     26      19     8          53            1
2.290806            14       15       23        8       12       15     26      19     9          53            1
2.320206            14       15       23        8       12       15     26      19     9          53            1
2.349984            14       15       23        8       12       15     26      19     9          53            1
2.380143            14       15       23        8       12       15     26      19     9          53            1
2.410690            14       15       23        8       12       15     26      19     9          53            1
2.441629            14       15       23        8       12       15     26      19     9          53            1
2.472965            14       15       23        8       12       15     26      19     9          53            1
2.504703            14       15       23        8       12       15     26      19     9          53            1
2.536848            14       15       23        8       12       16     26      19     9          53            1
2.569406            14       15       23        8       12       16     26      19     9          53            1
2.602382            14       15       23        8       12       16     26      19     9          53            1
2.635781            14       15       23        8       12       16     26      19     9          53            1
2.669609            14       15       23        8       12       16     26      19     9          53            1
2.703871            14       15       23        8       12       16     26      19     9          53            1
2.738572            14       15       23        8       12       16     26      19     9          53            1
2.773719            14       15       23        8       12       16     26      19     9          53            1
2.809317            14       16       23        8       12       16     26      19     9          53            1
2.845372            14       16       23        8       12       16     26      19     9          53            1
2.881890            14       16       23        8       12       16     26      19     9          53            1
2.918876            14       16       23        8       12       16     26      19     9          53            1
2.956337            14       16       23        8       12       16     26      19     9          53            1
2.994278            14       16       23        8       12       16     26      19     9          53            1
3.032707            14       16       23        8       14       17     27      19     9          53            2
3.071629            14       16       23        8       14       17     27      19     9          53            2
3.111050            14       16       23        8       14       17     27      19     9          53            2
3.150978            14       16       23        8       14       17     27      19     9          53            2
3.191417            14       16       23        8       14       17     27      19     9          53            2
3.232376            14       16       23        8       14       17     27      19     9          53            2
3.273860            14       16       23        8       14       17     27      19     9          53            2
3.315877            14       16       23        8       14       17     27      19     9          53            2
3.358433            14       16       23        8       14       17     27      19     9          53            2
3.401535            14       16       23        8       14       17     27      19     9          53            2
3.445191            14       16       23        8       14       17     27      19     9          53            2
3.489406            14       16       23        8       14       17     27      19     9          53            2
3.534190            14       16       23        8       14       17     27      19     9          53            2
3.579547            14       16       23        8       14       17     27      19     9          53            2
3.625487            14       16       23        8       14       17     27      19    10          53            2
3.672017            14       16       23        8       14       17     27      19    10          53            2
3.719144            14       16       23        8       14       17     27      19    10          53            2
3.766875            14       16       23        8       14       17     28      20    11          53            2
3.815219            14       16       23        8       14       17     28      20    11          53            2
3.864184            14       16       23        8       14       17     28      20    11          53            2
3.913777            14       16       23        8       14       17     28      20    11          53            2
3.964007            14       16       23        8       14       17     28      20    11          53            2
4.014881            15       16       24        8       15       18     28      20    11          53            3
4.066408            15       16       24        8       15       18     28      20    11          53            3
4.118596            15       16       24        8       15       18     28      20    11          53            3
4.171454            15       16       24        8       15       18     28      20    11          53            3
4.224991            15       16       24        8       15       18     28      20    11          53            3
4.279215            15       16       24        8       15       18     28      20    11          53            3
4.334134            15       16       24        8       15       18     28      20    11          53            3
4.389758            15       16       24        8       15       18     28      20    11          53            3
4.446097            15       16       24        8       15       18     28      20    11          53            3
4.503158            15       16       24        8       15       18     28      20    11          53            3
4.560952            15       16       24        8       15       19     28      20    11          53            3
4.619487            15       16       24        8       15       19     28      20    11          53            3
4.678774            15       16       24        8       15       19     28      20    11          53            3
4.738821            15       16       24        8       15       19     28      20    11          53            3
4.799639            15       16       24        8       15       19     29      20    11          53            3
4.861238            15       16       24        8       15       19     29      20    11          53            3
4.923627            15       16       24        8       15       19     29      20    11          53            3
4.986817            15       16       24        8       15       19     29      20    11          53            3
5.050818            16       17       24        9       16       19     29      20    12          53            3
5.115640            16       17       24        9       16       19     29      20    12          53            3
5.181294            16       17       24        9       16       19     29      20    12          53            3
5.247791            16       17       24        9       16       19     29      20    12          53            3
5.315142            16       17       24        9       16       20     29      20    12          53            3
5.383356            16       17       24        9       16       20     29      20    12          53            3
5.452446            16       17       24        9       16       20     29      20    12          53            3
5.522423            16       17       24        9       16       20     29      20    12          53            3
5.593298            16       17       24        9       16       20     29      20    12          53            3
