Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
              SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
1.000000e+00        2        7        6        3        6        3     27       6     1          53            0
1.014978e+00        2        7        6        3        6        3     27       6     1          53            0
1.030180e+00        2        7        6        3        6        4     27       6     1          53            0
1.045610e+00        2        8        7        3        7        5     27       6     1          53            0
1.061271e+00        2       10        7        3        7        5     27       6     1          53            0
1.077167e+00        2       10        8        3        8        5     27       6     1          53            0
1.093301e+00        2       10        8        3        9        5     27       6     1          53            0
1.109676e+00        2       10        9        3        9        5     27       6     1          53            0
1.126297e+00        2       10       12        3        9        5     27       6     1          53            0
1.143167e+00        2       11       12        3        9        5     27       6     1          53            0
1.160289e+00        2       11       13        3        9        7     27       6     1          53            0
1.177668e+00        2       11       13        3        9        8     27       6     1          53            0
1.195307e+00        2       11       14        4        9        8     27       6     1          53            0
1.213210e+00        2       11       14        4        9        8     27       6     1          53            0
1.231382e+00        2       11       14        4        9        9     27       6     1          53            0
1.249825e+00        2       11       14        4       10        9     27       6     1          53            0
1.268545e+00        2       11       16        4       11       10     27       6     1          53            0
1.287546e+00        2       11       16        4       12       10     27       6     1          53            0
1.306830e+00        2       11       16        5       12       10     27       6     1          53            0
1.326404e+00        2       11       16        5       12       10     27       6     1          53            0
1.346271e+00        3       12       17        6       12       10     27       6     1          53            0
1.366435e+00        3       13       17        6       12       11     27       6     1          53            0
1.386902e+00        3       13       17        6       13       11     27       6     1          53            0
1.407675e+00        3       14       18        6       13       11     27       6     1          53            0
1.428759e+00        3       14       18        6       14       11     27       6     1          53            0
1.450159e+00        4       14       18        6       14       12     27       6     1          53            0
1.471879e+00        4       14       18        6       14       12     27       6     1          53            0
1.493925e+00        4       15       18        6       14       12     27       6     1          53            0
1.516301e+00        4       15       19        6       14       12     27       6     1          53            0
1.539012e+00        4       15       19        6       14       12     27       6     1          53            0
1.562064e+00        5       15       19        6       14       12     27       6     1          53            0
1.585460e+00        5       15       19        6       14       12     27       6     1          53            0
1.609207e+00        5       15       19        6       15       12     27       6     1          53            0
1.633310e+00        5       15       19        6       15       12     27       6     1          53            0
1.657774e+00        5       15       19        6       15       12     27       6     1          53            0
1.682604e+00        5       16       20        6       15       12     27       6     1          53            0
1.707806e+00        6       17       20        6       15       12     27       6     1          53            0
1.733385e+00        6       17       21        6       15       12     27       6     1          53            0
1.759348e+00        6       18       21        6       15       13     27       6     1          53            0
1.785699e+00        6       18       21        6       16       13     27       6     1          53            0
1.812446e+00        6       18       21        6       16       13     27       6     1          53            0
1.839592e+00        6       18       21        6       16       13     27       6     1          53            0
1.867146e+00        6       18       21        6       16       13     27       6     1          53            0
1.895112e+00        6       18       21        6       16       13     27       6     1          53            0
1.923497e+00        6       18       21        6       16       13     27       6     1          53            0
1.952307e+00        6       18       21        6       16       13     27       6     1          53            0
1.981549e+00        6       18       21        6       16       14     27       6     1          53            0
2.011228e+00        6       18       21        6       16       14     27       6     1          53            0
2.041352e+00        6       18       21        6       16       15     27       6     1          53            0
2.071928e+00        6       18       21        6       16       15     27       6     1          53            0
2.102961e+00        6       18       21        6       16       15     27       6     1          53            0
2.134459e+00        6       18       21        6       16       16     27       6     1          53            0
2.166429e+00        6       18       21        6       16       16     27       6     1          53            0
2.198878e+00        6       18       21        6       16       16     27       6     1          53            0
2.231813e+00        6       18       21        6       16       16     27       6     1          53            0
2.265241e+00        6       18       21        7       16       17     27       6     1          53            0
2.299169e+00        6       18       21        7       16       17     27       6     1          53            0
2.333606e+00        6       18       21        7       16       17     27       6     1          53            0
2.368559e+00        6       18       21        7       16       18     27       6     1          53            0
2.404035e+00        6       18       21        7       16       18     27       6     1          53            0
2.440043e+00        6       18       21        7       16       18     27       6     1          53            0
2.476590e+00        6       18       21        7       16       19     27       6     1          53            0
2.513684e+00        6       18       21        7       17       19     27       6     1          53            0
2.551334e+00        6       18       21        7       17       19     27       6     1          53            0
