                            SHOTcq0     SHOTcq1     SHOTcq2     SHOThq0     SHOThq1    SHOThq2      baron       gurobi       scip  virt. worst
CCPOP5_100                  886.14-    1203.06-      10.49-     134.87-       1.00=      5.30-     65.56-       65.56-     65.56-     1203.06-
CCPOP5_186               250841.00-   42352.00-   90359.00-   18134.00-    8031.00-  15017.00-      1.00=   340991.00-  31417.00-   340991.00-
CCPOP5_20                     1.00=       1.00=       1.00=      42.00-       7.00-      8.00-     60.00-       60.00-     60.00-       60.00-
CCPOP5_219               158179.00-   40658.00-   84766.00-   19591.00-   10970.00-  11997.00-      1.00=  1745138.00-  14432.00-  1745138.00-
CCPOP5_300                   17.51-       1.55-       8.81-       1.92-       1.00=      1.10=      1.79-        1.79-      1.79-       17.51-
CCPOP5_50                 10722.12-      81.90-      45.92-     843.85-       1.00=     10.18-     55.60-       55.60-     55.60-    10722.12-
CCPOPwTCRTEaD5_20          1013.00-      18.19-       1.00=    1507.10-      13.73-     51.48-      8.08-        8.08-      8.08-     1507.10-
CCPOPwTCRTEaD5_50           331.37-      30.34-       1.00=      47.95-      15.23-     41.96-      1.95-        1.95-      1.95-      331.37-
CCPOPwTCaD5_20               29.01-      11.72-       1.00=       9.41-      64.92-     66.11-      3.72-        3.72-      3.72-       66.11-
CCPOPwTCaD5_300              25.34-       1.00=       1.37-       9.66-       4.05-      2.09-      2.08-        2.06-      2.09-       25.34-
CCPOPwTCaD5_50               18.09-       3.04-       2.89-       1.53-       4.92-      7.44-      1.00=        1.05=      1.04=       18.09-
CCPOPwTCaRL5_165              1.00=      47.00-      22.00-      17.00-       6.00-     20.00-   2208.00-     2208.00-   2208.00-     2208.00-
CCPOPwTCaRL5_308              1.00=       6.00-       4.00-      18.00-       5.00-      6.00-    147.00-      147.00-    147.00-      147.00-
CCPOPwTCaRL5_50               1.00=       1.00=       1.00=      15.00-       4.00-     19.00-  34251.00-    34251.00-  34251.00-    34251.00-
CCPOPwTCaRL5_538              1.00=       1.00=       1.00=       1.00=       1.00=      2.00-      1.00=        1.00=      1.00=        2.00-
MPCCPOP12_10                581.00-     140.00-       1.00=   47844.00-   43798.00-  85476.00-   1438.00-     1438.00-   1438.00-    85476.00-
MPCCPOP12_50                  1.00=    4699.00-    4275.00-   10170.00-   11060.00-  18787.00-   4494.00-     4478.00-   4497.00-    18787.00-
MPCCPOP_crypto8_1mo_5d        1.00=       1.00=       1.00=       1.00=  158206.00-      1.00=      1.00=        1.00=      1.00=   158206.00-
MPCCPOP_crypto8_30d_90m       1.00=       1.00=       1.00=    5027.00-       1.00=      1.00=      1.00=        1.00=  19302.00-    19302.00-
RPOPwCaTC5_50                 1.00=      37.00-      38.00-      26.00-      25.00-     63.00-  36451.00-    33433.00-  32567.00-    36451.00-
SaCCDPOP5_3_115          499482.00-  264267.00-  337801.00-   12017.00-   13275.00-  15245.00-      1.00=      603.00-  10746.00-   499482.00-
SaCCDPOP5_3_17            26770.00-   30926.00-    4266.00-    1595.00-     876.00-   1200.00-      1.00=      732.00-  15427.00-    30926.00-
SaCCDPOP5_3_326          312621.00-   13128.00-   85080.00-     221.00-     723.00-    186.00-      1.00=      567.00-    990.00-   312621.00-
SaCCDPOP5_3_61           426938.00-  228444.00-  278459.00-    2911.00-    5372.00-   4323.00-      1.00=      619.00-  37498.00-   426938.00-
ball_mk4_05                 643.23-       5.00-       1.00=     423.72-      11.12-      4.56-      4.79-       31.86-      3.62-      643.23-
ball_mk4_15              222873.33-  788124.52-   14378.62-    2744.76-   19230.95-  13916.52-      1.00=    22378.52-   4878.14-   788124.52-
color_lab2_4x0           298708.00-   17720.00-   36179.00-   17328.00-       1.00=  24437.00-      1.00=   594829.00-    621.00-   594829.00-
color_lab6b_4x20          57891.00-   56934.00-   61558.00-   48199.00-   15019.00-  28211.00-      1.00=   730820.00-    104.00-   730820.00-
meanvar-orl400_05_e_8     67214.00-   37042.00-    8427.00-  303548.00-    6758.00-   3083.00-      1.00=      727.00-   3636.00-   303548.00-
nvs11                         1.00=       1.00=       1.00=       1.00=       1.00=      1.00=     11.00-        2.00-      1.00=       11.00-
pedigree_ex485_2              1.00=   10630.00-       1.00=      93.00-       8.00-      1.00=      1.00=        1.00=    168.00-    10630.00-
pedigree_ex485           130305.00-   14099.00-  108941.00-    5192.00-       1.00=  12837.00-      1.00=      108.00-    856.00-   130305.00-
pedigree_sim2000              1.00=    3123.00-    3667.00-       1.00=    1097.00-    486.00-      1.00=      261.00-    170.00-     3667.00-
pedigree_sim400          231087.00-  135517.00-   68927.00-    4267.00-   50534.00-  23150.00-      1.00=      421.00-  50189.00-   231087.00-
pedigree_sp_top4_250     118233.00-    7452.00-    7140.00-     549.00-    1326.00-      1.00=      1.00=      345.00-   1282.00-   118233.00-
pedigree_sp_top4_300     158529.00-   12699.00-   15523.00-       1.00=    2552.00-      1.00=      1.00=      107.00-    832.00-   158529.00-
pedigree_sp_top4_350tr   180437.00-   29056.00-   18229.00-    4248.00-    7568.00-      1.00=      1.00=      412.00-   1551.00-   180437.00-
pedigree_sp_top5_200      98629.00-    2564.00-    3671.00-     105.00-     228.00-      1.00=      1.00=      374.00-   1822.00-    98629.00-
pedigree_sp_top5_250      97059.00-    3628.00-   14864.00-     138.00-    1322.00-     22.00-      1.00=      339.00-   4980.00-    97059.00-
watercontamination0202r    5266.00-       1.00=       1.00=    1777.00-       8.00-    120.00-      1.00=       28.00-      6.00-     5266.00-
