                          SHOTcq0    SHOTcq1   SHOTcq2   SHOThq0  SHOThq1   SHOThq2      baron     gurobi       scip virt. worst
CCPOPwTCRTEaD5_20        1013.00-     18.19-     1.00=  1507.10-   13.73-    51.48-      8.08-      8.08-      8.08-    1507.10-
CCPOPwTCaRL5_165            1.00=     47.00-    22.00-    17.00-    6.00-    20.00-   2208.00-   2208.00-   2208.00-    2208.00-
CCPOPwTCaRL5_20             1.00=      1.00=     1.00=    11.00-    9.00-    13.00-    480.00-    480.00-    480.00-     480.00-
CCPOPwTCaRL5_308            1.00=      6.00-     4.00-    18.00-    5.00-     6.00-    147.00-    147.00-    147.00-     147.00-
CCPOPwTCaRL5_50             1.00=      1.00=     1.00=    15.00-    4.00-    19.00-  34251.00-  34251.00-  34251.00-   34251.00-
CCPOPwTCaRL5_538            1.00=      1.00=     1.00=     1.00=    1.00=     2.00-      1.00=      1.00=      1.00=       2.00-
MPCCPOP_crypto8_1mo_1d      1.00=      1.00=     1.00=     5.00-    1.00=     1.00=      9.00-      9.00-      9.00-       9.00-
SaCCDPOP5_3_17          26770.00-  30926.00-  4266.00-  1595.00-  876.00-  1200.00-      1.00=    732.00-  15427.00-   30926.00-
alan                        1.00=      1.00=     1.00=     1.00=    3.00-     3.00-      3.00-      1.00=      1.00=       3.00-
ball_mk4_05               643.23-      5.00-     1.00=   423.72-   11.12-     4.56-      4.79-     31.86-      3.62-     643.23-
meanvarx                    1.00=      1.00=     1.00=     1.00=    3.00-     4.00-      1.00=      1.00=      1.00=       4.00-
