Absolute performance profile for Gap
Filter: no fail
          SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.000000       22       29       38       23       33       40     35      17    13          49            3
0.002002       23       30       38       24       34       40     44      47    35          53           12
0.004004       23       30       39       25       36       41     44      47    36          53           13
0.006006       25       32       41       25       36       43     45      47    36          53           14
0.008008       25       32       42       27       36       44     45      47    36          53           16
0.010010       25       33       43       27       36       44     45      47    37          53           16
0.012012       25       33       44       27       36       44     45      47    37          53           16
0.014014       26       33       44       27       37       44     46      47    37          53           16
0.016016       27       33       44       28       38       44     47      48    38          53           16
0.018018       27       33       44       28       38       46     47      48    38          53           17
0.020020       27       33       44       28       38       46     47      48    39          53           18
0.022022       27       33       44       28       38       46     47      48    39          53           18
0.024024       27       33       44       28       39       46     47      48    39          53           19
0.026026       27       33       45       28       39       46     47      48    41          53           19
0.028028       27       33       45       28       39       46     47      48    41          53           19
0.030030       27       34       45       28       39       46     47      48    42          53           20
0.032032       27       34       45       28       39       46     47      48    42          53           20
0.034034       27       34       45       28       39       46     47      48    42          53           20
0.036036       27       35       45       29       39       46     47      48    42          53           20
0.038038       27       36       45       29       39       46     47      48    42          53           20
0.040040       27       36       45       29       39       46     47      48    42          53           20
0.042042       27       36       45       29       39       46     47      48    42          53           20
0.044044       28       37       45       29       39       46     47      48    42          53           20
0.046046       28       37       45       29       39       46     47      48    42          53           20
0.048048       28       37       45       29       40       46     47      48    42          53           20
0.050050       28       37       45       29       40       46     47      48    42          53           20
0.052052       28       37       45       29       40       46     47      48    42          53           20
0.054054       28       37       45       29       40       46     47      48    42          53           20
0.056056       28       38       45       29       40       46     47      48    42          53           20
0.058058       28       38       46       30       40       46     47      48    42          53           20
0.060060       28       38       46       30       40       46     47      48    42          53           20
0.062062       28       38       46       30       40       46     47      48    42          53           20
0.064064       29       38       46       30       40       46     47      48    42          53           20
0.066066       29       38       47       30       40       46     47      48    42          53           20
0.068068       29       38       47       30       40       46     47      48    42          53           20
0.070070       29       38       48       30       40       46     47      48    42          53           20
0.072072       29       38       48       30       40       46     47      48    42          53           20
0.074074       29       38       48       30       40       46     47      48    42          53           20
0.076076       29       38       48       30       40       46     47      48    42          53           20
0.078078       29       39       48       30       40       46     47      48    42          53           20
0.080080       29       39       48       30       41       46     47      48    42          53           20
0.082082       29       40       48       30       41       46     47      48    42          53           20
0.084084       29       41       48       30       41       46     47      48    42          53           20
0.086086       29       41       48       30       41       46     47      48    42          53           20
0.088088       29       41       48       30       42       46     47      48    42          53           20
0.090090       29       41       48       30       42       46     47      48    42          53           20
0.092092       29       42       48       30       42       46     47      48    42          53           20
0.094094       29       42       48       31       42       46     47      48    42          53           21
0.096096       29       42       48       31       42       46     47      48    42          53           21
0.098098       29       42       48       31       42       46     47      48    42          53           21
0.100100       29       42       48       31       42       46     47      48    42          53           21
0.102102       29       42       48       31       42       46     47      48    42          53           21
0.104104       29       42       48       31       42       46     47      48    42          53           21
0.106106       29       42       49       31       42       46     47      48    42          53           21
0.108108       29       42       49       31       42       46     47      48    42          53           21
0.110110       29       43       49       31       42       46     47      48    42          53           21
0.112112       29       43       49       31       42       46     47      48    42          53           21
0.114114       29       43       49       31       42       46     47      48    42          53           21
0.116116       29       43       49       31       42       46     47      48    42          53           21
0.118118       29       43       49       31       42       46     47      48    42          53           21
0.120120       29       43       49       31       42       46     47      48    42          53           21
0.122122       29       43       49       31       42       46     47      48    42          53           21
0.124124       29       43       49       31       42       46     47      48    42          53           21
0.126126       29       43       49       31       42       46     47      48    42          53           21
0.128128       29       44       49       31       42       46     47      48    42          53           21
0.130130       29       44       49       31       43       46     47      48    42          53           21
0.132132       29       44       49       31       43       46     47      48    42          53           21
0.134134       29       44       49       31       43       46     47      48    42          53           21
0.136136       29       44       49       31       43       46     47      48    42          53           21
0.138138       29       44       49       31       43       46     47      48    42          53           21
0.140140       29       44       49       31       43       46     47      48    42          53           21
0.142142       29       44       49       31       43       46     47      48    42          53           21
0.144144       29       44       49       31       43       46     47      48    42          53           21
0.146146       29       44       49       31       43       46     47      48    42          53           21
0.148148       29       44       49       31       43       46     47      48    42          53           21
0.150150       29       44       49       31       43       46     47      48    42          53           21
0.152152       29       46       49       31       43       46     47      48    42          53           21
0.154154       29       46       49       31       43       46     47      48    42          53           21
0.156156       29       46       49       31       43       46     47      48    42          53           21
0.158158       29       46       49       31       43       46     47      48    42          53           21
0.160160       29       46       49       31       43       46     47      48    42          53           21
0.162162       29       46       49       31       43       46     48      49    43          54           21
0.164164       29       46       49       31       43       46     48      49    43          54           21
0.166166       29       46       49       31       43       46     48      49    43          54           21
0.168168       29       46       49       31       43       46     48      49    43          54           21
0.170170       29       46       49       31       43       46     48      49    43          54           21
0.172172       29       46       49       31       44       46     48      49    43          54           21
0.174174       29       46       49       31       44       46     48      49    43          54           21
0.176176       29       46       49       31       44       46     48      49    43          54           21
0.178178       29       46       49       31       44       46     48      49    43          54           21
0.180180       30       46       49       31       44       46     49      50    44          54           22
0.182182       30       46       49       31       44       46     49      50    44          54           22
0.184184       31       46       49       31       44       46     49      50    44          54           22
0.186186       31       46       49       31       44       46     49      50    44          54           22
0.188188       31       46       49       31       44       46     49      50    44          54           22
0.190190       31       46       49       31       44       46     49      50    44          54           22
0.192192       31       46       49       32       44       46     49      50    44          54           22
0.194194       31       46       49       32       44       46     49      50    44          54           22
0.196196       31       46       49       32       44       46     49      50    44          54           22
0.198198       31       46       49       32       44       46     49      50    44          54           22
0.200200       31       46       49       32       44       46     49      50    44          54           22
0.202202       31       46       49       32       45       46     49      50    44          54           22
0.204204       31       46       49       32       45       46     49      50    44          54           22
0.206206       31       46       49       32       45       46     49      50    44          54           22
0.208208       31       46       49       32       45       46     49      50    44          54           22
0.210210       31       46       49       32       45       46     49      50    44          54           22
0.212212       31       46       49       32       45       46     49      50    44          54           22
0.214214       31       46       49       32       45       46     49      50    44          54           22
0.216216       31       46       49       32       45       46     49      50    44          54           22
0.218218       31       46       49       32       45       46     49      50    44          54           22
0.220220       31       46       49       32       45       46     49      50    44          54           22
0.222222       31       46       49       32       46       46     49      50    44          54           22
0.224224       31       46       49       32       46       46     49      50    44          54           22
0.226226       31       46       49       32       46       46     49      50    44          54           22
0.228228       31       46       49       32       46       46     49      50    44          54           22
0.230230       31       46       49       32       46       46     49      50    44          54           22
0.232232       31       46       49       32       46       46     49      50    44          54           22
0.234234       31       46       49       32       46       46     49      50    44          54           22
0.236236       32       46       49       32       46       46     49      50    44          54           22
0.238238       32       46       49       32       46       46     49      50    44          54           22
0.240240       32       46       49       32       46       46     49      50    44          54           22
0.242242       32       46       49       32       46       46     49      50    44          54           22
0.244244       33       46       49       32       46       46     49      51    44          55           22
0.246246       33       46       49       32       46       47     49      51    44          55           22
0.248248       33       46       49       32       46       47     49      51    44          55           22
0.250250       33       46       49       32       46       47     50      51    44          55           22
0.252252       33       46       49       32       46       47     50      51    44          55           22
