Absolute performance profile for PrimalGap
Filter: no fail
          SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  gurobi  scip  virt. best  virt. worst
0.000000       10        9       14        9       10       11     15      12    12          15            5
0.002002       14       12       16       11       14       17     17      18    16          18            7
0.004004       14       12       16       12       14       17     17      18    16          18            8
0.006006       14       12       16       12       14       17     17      18    16          18            8
0.008008       14       12       16       12       14       17     17      18    16          18            8
0.010010       14       12       16       12       14       17     17      18    16          18            8
0.012012       14       12       16       12       14       17     17      18    16          18            8
0.014014       14       12       16       12       14       17     17      18    16          18            8
0.016016       14       12       16       12       14       17     17      18    16          18            8
0.018018       14       12       16       12       14       17     17      18    16          18            8
0.020020       14       12       16       12       14       17     17      18    16          18            8
0.022022       14       12       16       12       14       17     17      18    16          18            8
0.024024       14       12       16       12       14       17     17      18    16          18            8
0.026026       14       12       16       12       14       17     17      18    16          18            8
0.028028       14       12       16       12       14       17     17      18    16          18            8
0.030030       14       12       16       12       14       17     17      18    16          18            8
0.032032       14       12       16       12       14       17     17      18    16          18            8
0.034034       14       12       16       12       14       17     17      18    16          18            8
0.036036       14       12       16       12       14       17     17      18    16          18            8
0.038038       14       12       16       12       14       17     17      18    16          18            8
0.040040       14       12       16       12       14       17     17      18    16          18            8
0.042042       14       12       16       13       14       17     17      18    16          18            8
0.044044       14       12       16       13       14       17     17      18    16          18            8
0.046046       14       12       16       13       14       17     17      18    16          18            8
0.048048       14       12       16       13       14       17     17      18    16          18            8
0.050050       14       12       16       13       14       17     17      18    16          18            8
0.052052       14       12       16       13       14       17     17      18    16          18            8
0.054054       14       13       16       13       14       17     17      18    16          18            8
0.056056       14       13       16       13       14       17     17      18    16          18            8
0.058058       14       13       16       13       14       17     17      18    16          18            8
0.060060       14       13       16       13       14       17     17      18    16          18            8
0.062062       14       13       16       13       14       17     17      18    16          18            8
0.064064       14       13       16       13       14       17     17      18    16          18            8
0.066066       14       13       16       13       14       17     17      18    16          18            8
0.068068       14       14       16       13       14       17     17      18    16          18            8
0.070070       14       14       16       13       14       17     17      18    16          18            8
0.072072       14       14       16       13       15       17     17      18    16          18            8
0.074074       14       14       16       13       15       17     17      18    16          18            8
