                        SHOTcq0 SHOTcq1 SHOTcq2 SHOThq0 SHOThq1 SHOThq2  baron gurobi   scip virt. worst
CCPOP5_100                1.05=   1.11=   1.04=   1.01=   1.03=   1.00=  1.00=  1.00=  1.00=       1.11=
CCPOP5_186                1.07=   1.05=   1.05=   1.09=   1.02=   1.02=  1.00=  1.00=  1.01=       1.09=
CCPOP5_20                 1.00=   1.05=   1.02=   1.04=   1.02=   1.03=  1.00=  1.00=  1.00=       1.05=
CCPOP5_219                1.07=   1.22=   1.16=   1.05=   1.02=   1.02=  1.00=  1.00=  1.01=       1.22=
CCPOP5_300                1.08=   1.21=   1.18=   1.06=   1.04=   1.05=  1.00=  1.00=  1.00=       1.21=
CCPOP5_50                 1.00=   1.06=   1.06=   1.01=   1.03=   1.03=  1.00=  1.00=  1.00=       1.06=
CCPOPwTCRTEaD5_20         1.00=   0.99=   0.99=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       0.99=
CCPOPwTCRTEaD5_50         1.00=   1.00=   1.00=   0.98=   1.00=   1.00=  1.00=  1.00=  1.00=       0.98=
CCPOPwTCaD5_20            1.07=   1.00=   1.00=   1.03=   1.00=   1.00=  1.00=  1.00=  1.00=       1.07=
CCPOPwTCaD5_300           3.88=   1.94=   4.19=   3.02=   1.90=   2.37=  1.00=  1.00=  1.00=       4.19=
CCPOPwTCaD5_50            1.70=   1.10=   1.03=   1.46=   1.09=   1.24=  1.00=  1.00=  1.00=       1.70=
CCPOPwTCaRL5_165          1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
CCPOPwTCaRL5_20           1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
CCPOPwTCaRL5_308          1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
CCPOPwTCaRL5_50           1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
CCPOPwTCaRL5_538          1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
MPCCPOP12_10              1.14=   1.00=   1.00=   1.28=   1.01=   1.01=  1.00=  1.00=  1.00=       1.28=
MPCCPOP12_50              1.78=   1.01=   1.00=   2.29=   1.89=   2.19=  1.61=  1.61=  1.61=       2.29=
MPCCPOP_crypto8_1mo_1d    1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
MPCCPOP_crypto8_1mo_5d    1.00=   1.00=   1.00=   1.00=   1.00=   1.00=  1.00=  1.00=  1.00=       1.00=
MPCCPOP_crypto8_30d_90m   1.00=   1.00=   1.00=   0.99=   1.00=   1.00=  1.00=  1.00=  1.00=       0.99=
